Rank,Restaurant Name,Operating,Cuisine,Cost Range
1,The RANCH Steakhouse By ASTONS,Closed Now,European&Asian,$$$$
2,Haidilao Hot Pot,Open Now,Steakhouse,$$ - $$$
3,Sque Rotisserie & Alehouse,Open Now,Chinese&Asian,$$ - $$$
4,RAS The Essence of India,Open Now,Bar&European,$$ - $$$
5,Violet Oon Satay Bar & Grill,Closes in 26 min,Indian&Asian,$$ - $$$
6,Bayang,Closed Now,Quick Bites&Cafe,$$ - $$$
7,Brewerkz (Riverside Point),Open Now,Asian&Indonesian,$$ - $$$
8,McGettigan's CQ,Open Now,American&Bar,$$ - $$$
9,Cafe Iguana,Open Now,Gastropub&Irish,$$ - $$$
10,Ellenborough Market Cafe,Open Now,Mexican&Bar,$$ - $$$
11,Annalakshmi,Closed Now,Thai&Asian,$$ - $$$
12,JUMBO Seafood (Riverside Point),Closed Now,Indian&Asian,$$ - $$$
13,8 Korean BBQ,Open Now,Chinese&Seafood,$$ - $$$
14,Mitsuba Japanese Restaurant,Closed Now,Asian&Korean,$$ - $$$
15,nomVnom,Closed Now,Japanese&Asian,$$ - $$$
16,Hutong Northern Chinese Cuisine,Closes in 26 min,Italian,$$$$
17,Le Noir,Closed Now,Chinese&Asian,$$ - $$$
18,YAYOI Japanese Teishoku Restaurant,Open Now,Bar&Pub,$$ - $$$
19,Tung Lok Signatures,Closed Now,Japanese,$$ - $$$
20,Marutama Ramen (Liang Court),Closed Now,Chinese&Asian,$$$$
21,RENNthai,Closed Now,Chinese&Asian,$$ - $$$
22,Blue Potato,Open Now,Asian&Thai,$$ - $$$
23,Ya Kun Kaya Toast,Bar&International,$$ - $$$
24,Crazy Elephant,Cafe&Fast food,$
25,Tampopo,Open Now,Bar&Pub,$$ - $$$
26,L'Atelier Tiramisu,Closed Now,Chinese&Asian,$$$$
27,Shiraz,Closed Now,Cafe,$$ - $$$
28,Cat & the Fiddle Cakes (Clarke Quay),Closed today,Middle Eastern&Persian,$$ - $$$
29,Tonkotsu Kazan,Closed Now,Dessert&French,$$ - $$$
30,Ramen Santouka,Closed Now,Japanese&Asian,$
