Location ID, Location Name, Latitude, Longitude
26,SIMPANG,1.4452954,103.8497425
27,SOUTHERN ISLANDS,1.2710889,103.86328
28,SUNGEI KADUT,1.4149971,103.7533106
33,TUAS,1.3293722,103.6482364
34,WESTERN ISLANDS,1.2406689499999999,104.20177165828224
35,WESTERN WATER CATCHMENT,1.3664522,103.6810305
38,DOWNTOWN CORE,1.2867,103.8535
42,NEWTON,1.312981,103.8389215
43,ORCHARD,1.305272,103.8328757
45,KALLANG,1.310759,103.866262
46,LIM CHU KANG,1.4342172,103.7149872
49,NORTH-EASTERN ISLANDS,1.4064,104.0323
51,PASIR RIS,1.3730307,103.949255
56,STRAITS VIEW,1.2792579,103.8531856
39,MARINA EAST,1.288624,103.869827
40,MARINA SOUTH,1.276998,103.8615002
31,TENGAH,1.3669017,103.7108456
25,SERANGOON,1.3497629,103.873721
5,BOON LAY,1.3385752,103.7058478
3,BEDOK,1.3239765,103.930216
7,BUKIT MERAH,1.2806275,103.8305915
8,BUKIT PANJANG,1.378629,103.7621358
9,JURONG EAST,1.333115,103.7422968
11,BUKIT TIMAH,1.3546901,103.7763724
13,CHANGI,1.352516,103.98700696741236
15,CHOA CHU KANG,1.3847493,103.7445341
21,QUEENSTOWN,1.2946235,103.8060454
22,SELETAR,1.4098488,103.8773789
47,MANDAI,1.4235346,103.8033499
2,ANG MO KIO,1.3700733,103.8495157
4,BISHAN,1.3514521,103.8482496
6,BUKIT BATOK,1.3490572,103.7495906
14,CHANGI BAY,1.3168496,104.0206494
10,JURONG WEST,1.3396365,103.7073387
16,CLEMENTI,1.3151003,103.7652311
17,GEYLANG,1.3181862,103.8870563
18,HOUGANG,1.3719043,103.892725
19,PIONEER,1.3375884,103.6974104
20,PUNGGOL,1.4052585,103.9023302
23,SEMBAWANG,1.4490928,103.8200555
24,SENGKANG,1.3913304,103.8952941
29,TAMPINES,1.3468925999999999,103.94734087817068
30,TANGLIN,1.3060443,103.8152804
32,TOA PAYOH,1.3353906,103.8497414
36,WOODLANDS,1.436897,103.786216
37,YISHUN,1.4293839,103.8350282
41,MUSEUM,1.3011676,103.7734711
44,OUTRAM,1.2828695,103.8378603
48,MARINE PARADE,1.3026889,103.9073952
50,NOVENA,1.3205257000000001,103.84388133927948
52,PAYA LEBAR,1.3538993000000001,103.88782052662438
53,RIVER VALLEY,1.3083982,103.8861489
54,ROCHOR,1.30326565,103.85242609639883
55,SINGAPORE RIVER,1.28917835,103.84515431766008
