,name,categories,lat,lng,groupby
0,Bedok Chwee Kueh 勿洛水粿,Chinese Restaurant,1.3249029,103.93025,Restaurant
1,5 Senses,French Restaurant,1.3249932817288907,103.9325167892155,Restaurant
2,Ya Kun Kaya Toast 亞坤,Coffee Shop,1.324095089765238,103.92919839182038,Quick Bite
3,Song Zhou Luo Bo Gao 松洲箩卜糕,Breakfast Spot,1.3248355,103.93052,Restaurant
4,Dian Xiao Er 店小二,Chinese Restaurant,1.3251178539467172,103.93011942071624,Restaurant
5,FairPrice Fínest,Supermarket,1.3241402975426375,103.92925975811036,Shop
6,Duke Bakery,Bakery,1.3246906435156693,103.93251421920868,Quick Bite
7,Greendot,Vegetarian / Vegan Restaurant,1.3245056591834432,103.93016598933036,Restaurant
8,Wingstop,Wings Joint,1.3244617725907446,103.93016092617682,Misc.
9,Haidilao Hot Pot 海底捞火锅,Hotpot Restaurant,1.3242986001170487,103.92910386284075,Restaurant
10,Yolé,Frozen Yogurt Shop,1.324410497205912,103.92955899238586,Quick Bite
11,Stuff'd,Burrito Place,1.32421000772689,103.92935771852014,Misc.
12,MOS Burger,Burger Joint,1.324808,103.929638,Restaurant
13,Bedok Interchange Hawker Centre,Food Court,1.3245557429332013,103.93033364568173,Restaurant
14,McDonald's,Fast Food Restaurant,1.3241860346287102,103.9293885170949,Restaurant
15,Happy Days,Sports Bar,1.3247992926344274,103.93240878625875,Bars
16,Na Na Curry,Asian Restaurant,1.3261518,103.931175,Restaurant
17,New World Mutton Soup,Soup Place,1.3250603703044297,103.93013830399353,Restaurant
18,Popular Bookstore,Bookstore,1.3250000788567375,103.93011451106963,Misc.
19,NTUC FairPrice,Supermarket,1.3260404238570893,103.93147477485927,Shop
20,Inspirasi Stall,Malay Restaurant,1.3247112,103.930504,Restaurant
21,Pepper Lunch,Japanese Restaurant,1.3241840559195814,103.92994751624296,Restaurant
22,Starbucks,Coffee Shop,1.3245679190185344,103.93251777408432,Quick Bite
23,Bedok Mall,Shopping Mall,1.3249843365280987,103.92936050891876,Shop
24,ABC Bargain Centre Pte Ltd,Thrift / Vintage Store,1.3265255175339232,103.93344353500605,Misc.
25,Hao Lai Ke 好莱客,Chinese Restaurant,1.3258477767530257,103.93013298511505,Restaurant
26,Starbucks,Coffee Shop,1.32476,103.929644,Quick Bite
27,Blackball Singapore,Dessert Shop,1.3242779122671762,103.93003934871594,Quick Bite
28,FATCAT Ice Cream Bar,Ice Cream Shop,1.328218962974053,103.93093902975485,Shop
29,Blk 216 Bedok North Street 1 Hawker & Food Centre,Food Court,1.3269989614587994,103.93303136448313,Restaurant
30,NEW Rezki Restaurant,Indian Restaurant,1.3254398440724926,103.92892508331154,Restaurant
31,Subway,Sandwich Place,1.3249526793032655,103.93019538963439,Misc.
32,Arnold's Fried Chicken,Fried Chicken Joint,1.3259099651418784,103.93369275199225,Misc.
33,Common Grill by Collin’s,Japanese Restaurant,1.3266172430146344,103.93358463417769,Restaurant
34,Swensen's,American Restaurant,1.3252364293473013,103.93009122821563,Restaurant
35,KFC,Fast Food Restaurant,1.3245167489061531,103.93158010523048,Restaurant
36,UNIQLO,Clothing Store,1.324106177835493,103.92918636324762,Shop
37,Cash Studio Family Karaoke Box,Karaoke Bar,1.3258570341151086,103.92975293843652,Bars
38,Maki-San,Sushi Restaurant,1.324524587892258,103.93016763603228,Restaurant
39,KOI Café,Bubble Tea Shop,1.3249258527605083,103.93018489851502,Quick Bite
40,Le Nu,Noodle House,1.324732,103.929828,Restaurant
41,Junshin Express,Sushi Restaurant,1.324755679803729,103.92979840532071,Restaurant
42,Canton Paradise 樂天小香港,Hong Kong Restaurant,1.324479065729315,103.93017879373528,Restaurant
43,Saizeriya Ristorante E Caffe,Italian Restaurant,1.3247248452229818,103.93252600398174,Restaurant
44,Mei Xiang Prawn Noodle • Lor Mee,Noodle House,1.3248004,103.93023,Restaurant
45,Hot Tomato,Café,1.3244610647766106,103.93016209693805,Misc.
46,Itacho Sushi,Sushi Restaurant,1.3245003998645735,103.93017580683282,Restaurant
47,Hong Kong Sheng Kee Dessert,Dessert Shop,1.3240846188636592,103.9291408078299,Quick Bite
48,Subway,Sandwich Place,1.3247511637190041,103.93242421132187,Misc.
49,Sri Bistari Bedok North Famous Ayam Penyet,Indonesian Restaurant,1.3279979696963184,103.92996860330467,Restaurant
50,Chris Kway Chap,Asian Restaurant,1.327171737022058,103.93308497748515,Restaurant
51,Ice Cube Cafe @ Bedok Library,Café,1.3263723074285216,103.93175849921991,Misc.
52,Kopitiam,Food Court,1.3262694503158723,103.93136848952506,Restaurant
53,Subway,Sandwich Place,1.3268551,103.93305,Misc.
54,Buddy Hoagies Cafe,Restaurant,1.3263722592245077,103.93141100298952,Restaurant
55,Heartbeat @ Bedok ActiveSG Swimming Complex,Pool,1.327043,103.93222,Misc.
56,Eighteen Chefs,Asian Restaurant,1.3261528,103.929695,Restaurant
57,Spatique,Spa,1.326448126561326,103.92999101446544,Misc.
58,Mr Teh Tarik Eating House,Coffee Shop,1.326868817958625,103.93021241700814,Quick Bite
59,Wasabi San Bedok North St 1,Japanese Restaurant,1.3276532,103.931008,Restaurant
60,Burock Nasi Bukhari,Restaurant,1.3280576467514038,103.93009185791016,Restaurant
