,name,categories,lat,lng,groupby
0,Tori-Q,Japanese Restaurant,1.3505487497061666,103.84865852730566,Restaurant
1,Dian Xiao Er 店小二,Chinese Restaurant,1.3504260501179033,103.84898828266633,Restaurant
2,Starbucks,Coffee Shop,1.3498487851422194,103.85041472922425,Quick Bite
3,Bishan Cafeteria (Eating House),Food Court,1.350578802648245,103.84933602652579,Restaurant
4,食香阁 Shi Xiang Ge La Mian . Shaved Noodle,Shaanxi Restaurant,1.3507084,103.84944,Restaurant
5,Din Tai Fung 鼎泰豐,Dumpling Restaurant,1.3510056265907395,103.84824734059806,Restaurant
6,Gymm Boxx XL,Gym,1.3499089544875253,103.85068897477275,Misc.
7,Popular Bookstore,Bookstore,1.3506766471432232,103.84871800849157,Misc.
8,Pet Lovers Centre,Pet Store,1.3508724936755054,103.84822447132314,Misc.
9,Best Denki,Electronics Store,1.350533598543982,103.84896379616221,Misc.
10,Häagen-Dazs,Ice Cream Shop,1.3507830377275607,103.8486333426027,Shop
11,FairPrice Fínest,Supermarket,1.3505360635452464,103.84895536896897,Shop
12,Bishan Swimming Complex,Pool,1.354225078025654,103.85044843987507,Misc.
13,Ya Kun Kaya Toast 亞坤,Coffee Shop,1.350515178947594,103.84867147800176,Quick Bite
14,Gourmet Express,Coffee Shop,1.3508382324089925,103.85055809010241,Quick Bite
15,Marble Slab Creamery,Ice Cream Shop,1.350687950983963,103.84861531161265,Shop
16,Junction 8 Shopping Centre,Shopping Mall,1.3505340843503164,103.84873196644824,Shop
17,Watsons,Pharmacy,1.3508100621832067,103.84854218987049,Misc.
18,#1 Salon (Hair & Beauty),Cosmetics Shop,1.349191753189357,103.84947343006579,Shop
19,Gourmet Food Court,Food Court,1.3506605721800724,103.85066848857485,Restaurant
20,Osaka Ohsho,Japanese Restaurant,1.3504739470414073,103.84825771665743,Restaurant
21,Bishan Active Park,Park,1.3548245096703175,103.84768419495201,Misc.
22,Tuk Tuk Cha,Bubble Tea Shop,1.3504112330777114,103.84835197040508,Quick Bite
23,The Coffee Bean & Tea Leaf,Café,1.3504236,103.84828,Misc.
24,4 Fingers,Fried Chicken Joint,1.350201694731851,103.84827597615238,Misc.
25,The Bodyshop @ Junction8,Cosmetics Shop,1.3545469601379936,103.84889893277766,Shop
26,KOI Café,Bubble Tea Shop,1.3498944474710421,103.84945342171387,Quick Bite
27,Nu Sing Eating House,Asian Restaurant,1.3486588867859204,103.84961359502988,Restaurant
28,Ming Ji Chicken Rice 明记鸡饭 (白沙浮),Chinese Restaurant,1.3492342149868897,103.85006381015432,Restaurant
29,Mata Thai Restaurant,Thai Restaurant,1.348730516069814,103.84923298589007,Restaurant
30,Golden Village,Multiplex,1.350403147844782,103.84864284552066,Entertainment
31,BHG,Department Store,1.350580696706161,103.84901298245322,Entertainment
32,S-11 Food Court,Food Court,1.3495252867681156,103.84852172977449,Restaurant
33,NTUC FairPrice,Supermarket,1.3487984528275438,103.84961288791641,Shop
34,Kim San Leng Food Centre,Food Court,1.3492216,103.8499661,Restaurant
35,Pastamania,Italian Restaurant,1.350775649879425,103.84826342401027,Restaurant
36,Toast Box 土司工坊,Café,1.3507161530085723,103.84822866757342,Misc.
37,GM Food Center,Food Court,1.3506053733895957,103.84921406824027,Restaurant
38,Saybons French Food Factory,French Restaurant,1.350436717495028,103.84823957950735,Restaurant
39,Mini Princess,Kids Store,1.350462,103.84829,Misc.
40,grin affair,Café,1.3491194494486887,103.8490582065738,Misc.
41,111 Jalan Binchang,Pizza Place,1.354811971181967,103.84762570706613,Restaurant
