,name,categories,lat,lng,groupby
0,Yolé,Frozen Yogurt Shop,1.349955685764655,103.74913527824476,Quick Bite
1,Sedap Corner Nasi Ayam Hainan,Malay Restaurant,1.3492651254975883,103.75166684389113,Restaurant
2,McDonald's / McĆafe,Fast Food Restaurant,1.3495193892059176,103.75020596115165,Restaurant
3,Ya Kun Kaya Toast 亞坤 (Family Cafe),Coffee Shop,1.3499633972616731,103.74914680844965,Quick Bite
4,Cathay Cineplex,Multiplex,1.3500341879252589,103.74915056071005,Entertainment
5,Subway,Sandwich Place,1.3496708773537438,103.74957599462572,Misc.
6,Food Park,Food Court,1.3460472435545352,103.74964348543368,Restaurant
7,Pontian Express,Chinese Restaurant,1.3498949378043579,103.74924277766893,Restaurant
8,The Coffee Bean & Tea Leaf,Coffee Shop,1.3500275821090706,103.74924442260829,Quick Bite
9,Bengawan Solo Cafe,Café,1.3500179917873631,103.74915441115533,Misc.
10,NTUC FairPrice,Grocery Store,1.348813755621139,103.74924769997578,Misc.
11,Tom & Stefanie,Department Store,1.3500897677329853,103.74914330976651,Entertainment
12,Happy Hawkers,Food Court,1.3493893020208747,103.75048333822261,Restaurant
13,West Mall,Shopping Mall,1.349909751131093,103.74919919315329,Shop
14,Westwood Bowl,Bowling Alley,1.3525229317612848,103.74964745990813,Misc.
15,Teochew Cuisine Restaurant,Chinese Restaurant,1.3500787338676532,103.74579989644336,Restaurant
16,Bus Stop 43709 (Blk 644),Bus Station,1.348613470113174,103.75222775287982,Misc.
17,Srisun Prata Shop 24 Hours,Coffee Shop,1.3504172408403774,103.74532103117298,Quick Bite
18,Bukit Batok Village Eating House,Coffee Shop,1.3470935272487183,103.74706810063847,Quick Bite
19,Coffeeshop,Coffee Shop,1.3446590276166501,103.7486612465077,Quick Bite
