,name,categories,lat,lng,groupby
0,Books Actually,Bookstore,1.2825601879794775,103.83036702104305,Misc.
1,Plain Vanilla,Cupcake Shop,1.2823386759416209,103.8305418400146,Shop
2,Yoga Movement - The Pod,Yoga Studio,1.2826514716467718,103.83029451970962,Misc.
3,Woods In The Books,Bookstore,1.2824532250053229,103.83045111664433,Misc.
4,Creamier,Ice Cream Shop,1.2827793981514388,103.83025834764014,Shop
5,Tuan Yuan Pork Ribs Soup 团缘肉骨茶,Soup Place,1.282187815930178,103.82859855631553,Restaurant
6,PS. Cafe Petit,Café,1.2834787454441239,103.83126408008341,Misc.
7,Bincho at Hua Bee,Japanese Restaurant,1.2838307610091462,103.83029119213978,Restaurant
8,Forty Hands,Café,1.2826839226970972,103.83026935919219,Misc.
9,Fatty Aunt Yong Tou Fu,Asian Restaurant,1.2773614660237098,103.83125377570619,Restaurant
10,Loo's Hainanese Curry Rice,Hainan Restaurant,1.2841104227935165,103.8322176331302,Restaurant
11,Nan Yuen Fishball Mushroom Minced Meat Noodle,Noodle House,1.2841368378745774,103.83230209350586,Restaurant
12,Cheng's @ No. 27,Coffee Shop,1.2829623251064948,103.83000344038008,Quick Bite
13,Nimble/Knead - Come to our spa. Go far.,Spa,1.2838114264513099,103.8325470851849,Misc.
14,The Butcher's Wife,Restaurant,1.282746,103.830179,Restaurant
15,Ah Chiang's Porridge,Asian Restaurant,1.2830965036293858,103.83297992450741,Restaurant
16,Flock Café,Café,1.2836547308382285,103.83023376299033,Misc.
17,Tiann's Bakery + Takeaway,Bakery,1.2845134994583085,103.83258303550176,Quick Bite
18,Flea & Trees,Thrift / Vintage Store,1.2837712186612946,103.83316148053123,Misc.
19,Por Kee Eating House,Chinese Restaurant,1.2841498153522808,103.83290259759382,Restaurant
20,Good Chance Popiah Eating House,Asian Restaurant,1.2776523495223964,103.83176408475174,Restaurant
21,Narambi Cafe,Café,1.2812991655326225,103.83454109725116,Misc.
22,Golden Spoon Restaurant (金匙经典) (Golden Spoon Restaurant),Chinese Restaurant,1.283948579787529,103.83323518722044,Restaurant
23,TMG Coffee Shop,Coffee Shop,1.2780063829974884,103.83131523901997,Quick Bite
24,忠于原味雲吞麵 Wanton Noodle Chicken Noodle Dumpling Soup,Noodle House,1.2847353923220517,103.83236550404685,Restaurant
25,Lee Tai Fu,American Restaurant,1.2849012730063145,103.829463602375,Restaurant
26,nana & bird,Boutique,1.2824566599298344,103.83046326888507,Shop
27,Cheng Delicacies,Asian Restaurant,1.283281423924328,103.8298188408522,Restaurant
28,Membina Court Hawker,Food Truck,1.2794921846029332,103.82870471170843,Restaurant
29,Sin Teck Heng Seafood Garden,Chinese Restaurant,1.2777745785230568,103.83098602357433,Restaurant
30,Blk 146 Jalan Bukit Merah,Breakfast Spot,1.2777655973132223,103.83134265892446,Restaurant
31,Bus Stop 10051 (Blk 149),Bus Station,1.2777387739953678,103.83212952436479,Misc.
32,Nan Heong Ho Kee (Coffeeshop),Food Court,1.276924914846081,103.83078223236693,Restaurant
33,Old Tiong Bahru Bak Kut Teh,Chinese Restaurant,1.2845093398316711,103.83267489376205,Restaurant
34,Ah Orh Seafood Restaurant,Chinese Restaurant,1.2807412109776906,103.82624764279701,Restaurant
35,Haematology Pharmacy,Pharmacy,1.2806842500000002,103.834821,Misc.
36,Bus Stop 10391 (Opp Melati Blk 2),Bus Station,1.2761912014679329,103.8310382376953,Misc.
