,name,categories,lat,lng,groupby
0,Old Street Bak Kut Teh 老街肉骨茶,Diner,1.3800484841456495,103.76416208140611,Restaurant
1,Starbucks,Coffee Shop,1.37972985430617,103.76403557244917,Quick Bite
2,Starbucks,Coffee Shop,1.3780186652448814,103.76276133190703,Quick Bite
3,Teo Heng Karaoke,Karaoke Bar,1.3802776475337384,103.76080520315966,Bars
4,Penyet Town,Indonesian Restaurant,1.3802940180540975,103.76065241093283,Restaurant
5,Hai Xian Zhu Zhou 海鲜煮粥,Noodle House,1.3771606143961228,103.76481884172834,Restaurant
6,The Gym Nation,Gym,1.3819865068686663,103.764748989705,Misc.
7,Hillion Mall,Shopping Mall,1.3780737941598702,103.76266997625245,Shop
8,McDonald's,Fast Food Restaurant,1.3781295219374938,103.76261090232315,Restaurant
9,Subway,Sandwich Place,1.3799406049663236,103.76426161542781,Misc.
10,Churros Factory,Café,1.3795616426281492,103.76097198560973,Misc.
11,Osaka Ohsho,Restaurant,1.3793817362644054,103.7644244686508,Restaurant
12,Swensen's,American Restaurant,1.3797019934483838,103.76405547981611,Restaurant
13,Fun Toast,Chinese Breakfast Place,1.3799405769134476,103.76089222172695,Restaurant
14,Sushi Express 爭鮮迴轉壽司,Sushi Restaurant,1.377914878312975,103.7638500881373,Restaurant
15,Bukit Panjang Plaza,Shopping Mall,1.3801366889004483,103.76415332486624,Shop
16,LiHO,Bubble Tea Shop,1.3799911685383546,103.76079306684085,Quick Bite
17,KFC,Fried Chicken Joint,1.3780617412625216,103.76264223077476,Misc.
18,Eighteen Chefs,Bistro,1.3806564584946293,103.76409422951306,Bars
19,Burger King,Fast Food Restaurant,1.3794394879208551,103.76439296094149,Restaurant
20,Maki-san,Sushi Restaurant,1.3784516591192797,103.76232260365254,Restaurant
21,McDonald's,Fast Food Restaurant,1.37920365279955,103.76438582861906,Restaurant
22,Nice Cafe,Asian Restaurant,1.3812595499460762,103.76451682176982,Restaurant
23,BBQ Express,BBQ Joint,1.3797666009024825,103.76436710357666,Misc.
24,Ichiban Sushi,Sushi Restaurant,1.3794998903900795,103.76420613352771,Restaurant
25,Phoenix LRT Station (BP5),Light Rail Station,1.3783073040936877,103.7577542754657,Misc.
26,Popular Bookstore,Bookstore,1.3794208550681235,103.7644099351587,Misc.
27,Watson,Pharmacy,1.377955,103.763144,Misc.
28,Pontian Wanton Noodles,Noodle House,1.378192,103.762825,Restaurant
29,Tuk Tuk Cha,Café,1.377903311502806,103.76383060582462,Misc.
30,Shan Cheng Ipoh Delicacies (Shan Cheng),Asian Restaurant,1.3805173052302677,103.76389500799033,Restaurant
31,The Old Pontian Cafe,Asian Restaurant,1.379508767704183,103.76432797650972,Restaurant
32,FairPrice Finest,Supermarket,1.3805300299120067,103.76416643407043,Shop
33,Four Leaves,Bakery,1.3797380682486426,103.76426904155555,Quick Bite
34,Prima Deli,Bakery,1.380372022572022,103.76381384121535,Quick Bite
35,Blk 163 Bukit Panjang Coffee Shop,Coffee Shop,1.3772624245619502,103.76476561006162,Quick Bite
