,name,categories,lat,lng,groupby
0,Bukit Timah Summit,Mountain,1.3546220023582631,103.77637447262104,Misc.
1,Bukit Timah Hill,Mountain,1.3532953645391537,103.7771987915039,Misc.
2,Summit Path (Summit Step),Trail,1.3540699125297768,103.77697143914558,Misc.
3,Simpang Hut,Rest Area,1.3532801933119485,103.77747873558086,Misc.
4,Summit Hut,Rest Area,1.354692685952537,103.7764921976978,Misc.
5,Rengas Path,Trail,1.3565131154538628,103.77548217773438,Misc.
6,Jungle Fall Path,Trail,1.3558461581174275,103.77412321051946,Misc.
7,Telecom VHF Station Lookout,Scenic Lookout,1.3519282341003418,103.77655029296875,Entertainment
8,Rock Path (Closed Trail),Trail,1.352415845212445,103.77857208251953,Misc.
9,Catchment Path,Trail,1.3537235921186253,103.7796573253208,Misc.
10,North View Path,Trail,1.3577573113275676,103.77470970153807,Misc.
11,Catchment Hut,Rest Area,1.35362,103.779742,Misc.
12,Bukit Timah Hiking Trails,Trail,1.3511810506992734,103.77808421022958,Misc.
