,name,categories,lat,lng,groupby
0,Singapore Changi Airport (SIN) (Singapore Changi Airport),Airport,1.353767301607359,103.98784875869751,Misc.
1,Singapore Airlines First Class Check-In Reception,Airport Lounge,1.3551342655815644,103.98673179266916,Misc.
2,Orchid Garden,Garden,1.3538456347901882,103.9890262300953,Misc.
3,TWG Tea Salon & Boutique,Tea Room,1.354640864770029,103.98899306735406,Quick Bite
4,SIA SilverKris Lounge (Terminal 3),Airport Lounge,1.354745257389442,103.98521485131722,Misc.
5,Terminal 3 Immigration (Arrivals North),Border Crossing,1.354760053978944,103.98601204631491,Misc.
6,Japan Gourmet Hall SORA,Japanese Restaurant,1.3547868356462962,103.98840455562016,Restaurant
7,Sunflower Garden,Garden,1.3537629676995884,103.98927668412936,Misc.
8,Louis Vuitton,Boutique,1.3555805,103.9861962,Shop
9,Singapore Airlines (SQ) Check-in Counter,Airport,1.3554377650369238,103.98566067543747,Misc.
10,DFS,Duty-free Shop,1.3552699803322088,103.98920276136248,Shop
11,Movie Theatre | Terminal 2,Movie Theater,1.3537746578183334,103.98929511919317,Entertainment
12,Nando's,Portuguese Restaurant,1.354780904344977,103.98822158955448,Restaurant
13,Fairprice Fínest,Supermarket,1.3560063009502297,103.98713250533541,Shop
14,Subway @ Changi T2,Sandwich Place,1.3550187742070412,103.9878616525853,Misc.
15,Hermès,Boutique,1.355955609326103,103.98615372837247,Shop
16,Hermès,Boutique,1.355171139396557,103.98842066100045,Shop
17,Boost Juice Bar,Juice Bar,1.3556396635516295,103.98548804886298,Quick Bite
18,LeNu Chef Wai's Noodle Bar,Chinese Restaurant,1.3556620452116432,103.98552057853139,Restaurant
19,Bengawan Solo,Bakery,1.3546477752453365,103.98946346246404,Quick Bite
20,The Private Room,Airport Lounge,1.3543629293508601,103.98498932113964,Misc.
21,Times Bookstore Terminal 2,Bookstore,1.3536568678877428,103.98879904236044,Misc.
22,McDonald's,Fast Food Restaurant,1.3546633292507364,103.98942926255137,Restaurant
23,Terminal 3 Immigration (Arrivals South),Border Crossing,1.3553845568437113,103.98632526397705,Misc.
24,KOI Express,Bubble Tea Shop,1.356430029248066,103.98730341036322,Quick Bite
25,Prada,Accessories Store,1.3555352067179802,103.98949179956985,Misc.
26,Irvins Salted Egg,Snack Place,1.3550503956520334,103.98981528319221,Misc.
27,The Cocoa Trees,Candy Store,1.3555727382749072,103.99010954991641,Misc.
28,Smoking Area,Rest Area,1.3540258556294384,103.9896165255347,Misc.
29,ZARA,Clothing Store,1.35485441267384,103.98544953984432,Shop
30,Tiffany & Co.,Jewelry Store,1.3554984517920186,103.9863190948472,Shop
31,TWG Tea Boutique,Gift Shop,1.3559476165406765,103.98580638215276,Shop
32,TGM Japanese Korean Cuisine,Asian Restaurant,1.3552313785183874,103.98954391479492,Restaurant
33,Xperience Zone,Music Venue,1.3545435224888749,103.98970795442457,Misc.
34,DBS Asia Treasures Terminal 2 Lounge,Airport Lounge,1.3558415907303576,103.98930024088298,Misc.
35,Starbucks,Coffee Shop,1.352087,103.98409,Quick Bite
36,Ambassador Transit Hotel,Hotel,1.353961611666803,103.98947346794104,Restaurant
37,Relay Bookshop | Terminal 2,Bookstore,1.3557774948042516,103.98978083838004,Misc.
38,Mugiho Bakers,Bakery,1.3556146010754908,103.9870046534929,Quick Bite
39,Entertainment Deck,Multiplex,1.3537923065236355,103.98927560154314,Entertainment
40,Bengawan Solo,Bakery,1.3559385514384592,103.98673841908062,Quick Bite
41,Gate A5,Airport Gate,1.354980040319938,103.98484918286971,Misc.
42,Krispy Kreme,Donut Shop,1.3564668999629803,103.9888390474869,Quick Bite
43,Starbucks Reserve,Coffee Shop,1.3568763583222232,103.98722669998013,Quick Bite
44,The Coffee Bean & Tea Leaf,Coffee Shop,1.3537873306997938,103.98926488249795,Quick Bite
45,Boost Juice Bar,Juice Bar,1.3554446039421917,103.99001915967077,Quick Bite
46,T2 Staff Canteen by Kopitiam,Airport Food Court,1.3531005062295727,103.98781924433884,Restaurant
47,SATS Premier Lounge,Airport Lounge,1.3551691123863996,103.98994157915307,Misc.
48,Bowl @Changi,Bowling Alley,1.350505505729601,103.98761589567088,Misc.
49,VIP Complex (Scan Trailer),Airport Terminal,1.3493338704374576,103.9866297811474,Misc.
50,Levi's,Clothing Store,1.3518795527836271,103.99040222167969,Shop
51,Delifrance,Café,1.355116684854971,103.98994997989509,Misc.
52,"Hong Kong Roast, Changi Airport",Asian Restaurant,1.355020917495396,103.98993385917068,Restaurant
53,Hong Kong Sheng Kee Dessert 香港盛記甜品,Asian Restaurant,1.3554090075136114,103.99001520363214,Restaurant
54,The Green Market,Airport Lounge,1.3552725477477974,103.98994150792424,Misc.
55,Braun Buffel,Accessories Store,1.35556916284698,103.99024556871122,Misc.
