,name,categories,lat,lng,groupby
0,パン達人 BAKER TALENT,Bakery,1.384180192719575,103.74423274608141,Quick Bite
1,Starbucks,Coffee Shop,1.3843242464021184,103.74466556072359,Quick Bite
2,Subway,Sandwich Place,1.3856426501611323,103.74472477290492,Misc.
3,Dian Xiao Er 店小二,Asian Restaurant,1.3856036276890777,103.74474771552191,Restaurant
4,Nando's,Portuguese Restaurant,1.3844874164098018,103.74496991467447,Restaurant
5,Siam Kitchen,Thai Restaurant,1.3852400991889278,103.74488887837721,Restaurant
6,Roof Top Garden,Playground,1.3852679925257927,103.74483106661988,Misc.
7,McDonald's,Fast Food Restaurant,1.385665256637247,103.74472524010288,Restaurant
8,Ya Kun Kaya Toast 亞坤,Coffee Shop,1.3855372706251978,103.74474658498957,Quick Bite
9,McDonald's / McCafé,Fast Food Restaurant,1.385554285132296,103.74480182605238,Restaurant
10,CCK 302 Coffeehouse,Food Court,1.3847990238534764,103.74329454063925,Restaurant
11,PastaMania,Italian Restaurant,1.3846459103139463,103.7450027560069,Restaurant
12,NTUC FairPrice,Supermarket,1.3845883336801141,103.74501471786418,Shop
13,Jalapeno's Pepper Express,Mexican Restaurant,1.38543,103.744822,Restaurant
14,Mondo @ Lot 1,Shoe Store,1.3847972623295384,103.7449399014181,Shop
15,Old Street Bak Kut Teh 老街肉骨茶,Diner,1.3845812995098858,103.7449718398795,Restaurant
16,Turkish Kebab,Burrito Place,1.384796992499344,103.74505870388091,Misc.
17,Sakae Sushi,Sushi Restaurant,1.385199570049715,103.74487031718809,Restaurant
18,LiHO,Bubble Tea Shop,1.3846477596116251,103.74495831524986,Quick Bite
19,The Old Pontian Cafe,Noodle House,1.3851029471541025,103.74480891421992,Restaurant
20,Blk 429A Coffee Shop @ Choa Chu Kang Ave 4,Coffee Shop,1.3822074953734687,103.74292027567112,Quick Bite
21,429A Choa Chu Kang Aveune 4,Coffee Shop,1.3830983653576332,103.74085542369149,Quick Bite
22,Bus Stop 44459 (Blk 277),Bus Station,1.3803778404296927,103.74452904782542,Misc.
