,name,categories,lat,lng,groupby
0,Xin Peng La Mian Xiao Long Bao,Dim Sum Restaurant,1.3136611,103.76419,Restaurant
1,GameWerks,Video Game Store,1.3145050442743482,103.7643027305603,Misc.
2,Golden Rooster (Clementi),Fried Chicken Joint,1.3133874383486301,103.76582623741506,Misc.
3,Fitness First Platinum Clementi,Gym,1.3119545799581729,103.76510334481439,Misc.
4,Fried Carrot Cake 炒菜頭粿,Chinese Breakfast Place,1.313511123939743,103.76456344703749,Restaurant
5,Kimly Seafood 全味港式烧腊,Chinese Restaurant,1.314636983187089,103.76699685017519,Restaurant
6,Joyful Paradise,Chinese Restaurant,1.314154009232714,103.7635093170412,Restaurant
7,Soup Restaurant 三盅兩件 (Soup Restaurant),Soup Place,1.3151353753882422,103.76488053332439,Restaurant
8,Lao Ban Soya Beancurd 老伴豆花,Dessert Shop,1.3144393248080246,103.76513892232951,Quick Bite
9,Art•Friend,Arts & Crafts Store,1.3123954454723044,103.76567916018058,Entertainment
10,Saizeriya Ristorante E Caffe,Italian Restaurant,1.3120133128191802,103.76499484965457,Restaurant
11,Thaksin Beef Noodle,Thai Restaurant,1.3127466700755805,103.76510849259725,Restaurant
12,Boon Kee Wanton Noodle,Noodle House,1.3135286278394256,103.76458457190402,Restaurant
13,Clementi 448 Market & Food Centre,Food Court,1.3135061033403834,103.76459330372082,Restaurant
14,328 Coffee Shop,Food Court,1.313750598775886,103.76677487811548,Restaurant
15,Baker Talent,Bakery,1.3146712970404795,103.76469224975706,Quick Bite
16,Whampoa Soya Bean,Dessert Shop,1.3136487426758972,103.76454909737589,Quick Bite
17,WE Cinemas,Multiplex,1.311952802607596,103.76509536320955,Entertainment
18,Jinjja Chicken,Fried Chicken Joint,1.315192,103.764618,Misc.
19,Yakiniku-OhJi Goen,Japanese Restaurant,1.311978,103.765011,Restaurant
20,Subway,Sandwich Place,1.3150749737586223,103.76493186498523,Misc.
21,Popular Bookstore,Bookstore,1.3151038674787716,103.7648786911558,Misc.
22,Soon Lee 顺利 (Soon Lee),Asian Restaurant,1.3133737374492633,103.76467324978132,Restaurant
23,Jit It Thai San Popiah (Yue Yi Tai Shan Popiah),Snack Place,1.3126580812673125,103.76534246744868,Misc.
24,Blk 378 Clementi Ave 5,Coffee Shop,1.3174415122257401,103.76731724162954,Quick Bite
25,Phoon Huat & Co.,Grocery Store,1.3131496033724803,103.7628832578269,Misc.
26,Clementi Florist & Aquarium (C328),Pet Store,1.3138683071378605,103.76696541409505,Misc.
