,name,categories,lat,lng,groupby
0,The Fullerton Hotel,Hotel,1.2862,103.85298,Restaurant
1,One Fullerton,Plaza,1.2857966380343786,103.85418059470722,Plaza
2,The Merlion,Outdoor Sculpture,1.286906421390687,103.85435611180665,Outdoor Sculpture
3,Fullerton WaterFront,Waterfront,1.2848221090926681,103.85343323411014,Waterfront
4,Cavenagh Bridge,Bridge,1.2865958046384585,103.8523381948471,Bridge
5,Asian Civilisations Museum,History Museum,1.2871133945901516,103.85205165999581,History Museum
6,Esplanade Park,Park,1.2889675708353954,103.85358044117562,Park
7,Merlion Park,Sculpture Garden,1.2866564658048365,103.8544479619874,Sculpture Garden
8,The Lighthouse Restaurant & Rooftop Bar,Italian Restaurant,1.2862313490378119,103.85320820322762,Restaurant
9,Starbucks Reserve Store (Starbucks Reserve),Coffee Shop,1.2870494697229158,103.85359982710769,Coffee/Tea Shops
10,The Fullerton Bay Hotel,Hotel,1.2838775216184781,103.85331433621205,Restaurant
11,The Salad Shop,Salad Place,1.2855231912921747,103.85117679834366,Restaurant
12,The Oval @ Singapore Cricket Club Pavilion,Restaurant,1.2890063261799183,103.85243809189993,Restaurant
13,Esplanade Riverside,Waterfront,1.2888952713583763,103.8550978155989,Waterfront
14,Starbucks,Coffee Shop,1.2856320767718488,103.85388935351173,Coffee/Tea Shops
15,J-Cone Jipangyi,Snack Place,1.2864030392460999,103.8543546366435,Snack Place
16,Victoria Theatre & Victoria Concert Hall,Monument / Landmark,1.2883541544235495,103.85173122943438,Monument / Landmark
17,The Sandwich Shop,Sandwich Place,1.2842655515697992,103.85267347097397,Sandwich Place
18,CITY Hot Pot Shabu shabu,Hotpot Restaurant,1.284172851493935,103.85158494974766,Restaurant
19,Esplanade Outdoor Theatre,Performing Arts Venue,1.2889043425663702,103.85600131170524,Performing Arts Venue
20,CULINARYON,Comfort Food Restaurant,1.284876109016574,103.85093299421413,Restaurant
21,Esplanade Theatre,Theater,1.2899318061542575,103.8550369159392,Theater
22,1-Altitude,Cocktail Bar,1.284794431317664,103.85115087325562,Bars
23,Marina Bay,Bay,1.284992247519025,103.8566780090332,Bay
24,Esplanade - Theatres On The Bay,Performing Arts Venue,1.2898371845798673,103.85540355727072,Performing Arts Venue
25,Esplanade Concert Hall,Concert Hall,1.2899135232745114,103.85498280184933,Concert Hall
26,Esplanade Concourse,General Entertainment,1.2899180869958755,103.85496081994411,General Entertainment
27,Esplanade Recital Studio,Music Venue,1.2889965226009676,103.85579185019728,Music Venue
28,Waa Cow!,Japanese Restaurant,1.2842844176977737,103.85121523927255,Restaurant
29,Palm Beach Seafood Restaurant,Seafood Restaurant,1.2863125290266249,103.85433687075343,Restaurant
30,Virgin Active,Gym / Fitness Center,1.284608,103.850815,Gym
31,Monti,Modern European Restaurant,1.2845033473613494,103.85394374075835,Restaurant
32,The Courtyard,Lounge,1.2861295093403449,103.85301852485993,Lounge
33,Victoria Concert Hall - Home of the SSO,Concert Hall,1.2883883823236189,103.8516957058828,Concert Hall
34,The Clifford Pier,Asian Restaurant,1.2841103651509331,103.85347670219562,Restaurant
35,Odette Restaurant,French Restaurant,1.2896794388567234,103.85169075444492,Restaurant
36,Empress,Cantonese Restaurant,1.287162634970024,103.85114335040568,Restaurant
37,Sabaai Sabaai Traditional Thai Massage,Massage Studio,1.2869638906726741,103.84951228210039,Massage Studio
38,La Brasserie,Café,1.283112539646023,103.85331066421297,Café
39,National Gal­lery Singa­pore,Art Gallery,1.2907395913341984,103.85154786540198,Art Gallery
40,Singapore F1 GP: Padang Stage,Concert Hall,1.2906966201285628,103.85329735080651,Concert Hall
41,Headquarters,Nightclub,1.2877232260225064,103.84938113291551,Club
42,The Daily Cut,Salad Place,1.2841252538898542,103.8514682157539,Restaurant
43,Ohara Farm Hokkaido Ice Cream,Ice Cream Shop,1.288951,103.855374,Ice Cream Shop
44,Lantern,Cocktail Bar,1.2832618010900512,103.85359781518986,Bars
45,Singapore F1 Padang Grandstand,Event Space,1.2906556420670499,103.85277271270752,Event Space
46,The Landing Point,Hotel Bar,1.2835978417702665,103.85319689173761,Restaurant
47,Braci,Italian Restaurant,1.2871066430665543,103.8492565022556,Restaurant
48,Singapore Cricket Club,Club House,1.2888869000338758,103.85203969418592,Club
49,Yoga Mala,Yoga Studio,1.2858640514569168,103.8494140740419,Yoga Studio
50,Stumps,Bar,1.2892099655419618,103.85187679398152,Bars
51,Strangers At Work,Coffee Shop,1.2836621604508216,103.85179446707164,Coffee/Tea Shops
52,One Raffles Place,Building,1.2843416090582966,103.85131573472614,Building
53,Smoke & Mirrors,Cocktail Bar,1.2903374976035917,103.85200420890978,Bars
54,Caffe Fernet,Italian Restaurant,1.2826692114051046,103.85374749884602,Restaurant
55,The Providore Raffles Place,French Restaurant,1.2834914460892377,103.85140071022128,Restaurant
56,Healthy Soba IKI,Japanese Restaurant,1.2842423827202178,103.85148972383601,Restaurant
57,Fitness First Platinum,Gym / Fitness Center,1.2839700996377141,103.8504325474436,Gym
58,Maharajah,Indian Restaurant,1.2866672011390143,103.84963584593372,Restaurant
59,Chao Shan Cuisine,Chinese Restaurant,1.2844049913989506,103.84984910488129,Restaurant
60,Fish Soup @ Arcade,Chinese Restaurant,1.2833937139489695,103.8527641433882,Restaurant
61,Gerry's Grill,Filipino Restaurant,1.2893087743562603,103.85689087068657,Restaurant
62,Super Loco Custom House,Mexican Restaurant,1.282502,103.853714,Restaurant
63,Boat Quay,Canal,1.2866377657473904,103.8495492898863,Canal
64,Hom Yoga,Yoga Studio,1.2862367968979624,103.84938925719267,Yoga Studio
65,Hero's,Bar,1.2865297706490764,103.84907948357424,Bars
66,YAKINIQUEST,BBQ Joint,1.2868585948395266,103.84948968887329,BBQ Joint
67,Ah Sam Cold Drink Stall,Cocktail Bar,1.2874967995008197,103.84930193424223,Bars
68,Kinki Restaurant & Bar,Japanese Restaurant,1.2825617986023137,103.85366453580399,Restaurant
69,Aura,Italian Restaurant,1.290800563788568,103.85209173979858,Restaurant
70,Esplanade Theatre Studio,Performing Arts Venue,1.2896772808809123,103.85563891356041,Performing Arts Venue
71,Gajalee,Indian Restaurant,1.2892674621448696,103.85654224319975,Restaurant
72,Esplanade Roof Terrace,Scenic Lookout,1.2893588721017184,103.85592575869285,Scenic Lookout
73,The National Kitchen by Violet Oon Singapore,Asian Restaurant,1.290577571387266,103.85201721186596,Restaurant
74,Singapore F1 Zone 4,Event Space,1.2902372787975218,103.85338227785537,Event Space
