,name,categories,lat,lng,groupby
0,粥大王! Rice House,Vegetarian / Vegan Restaurant,1.3169052080259087,103.88834316820818,Restaurant
1,Hong Qin Fish & Duck Porridge,Chinese Restaurant,1.3157868493163372,103.88566302456583,Restaurant
2,Sik Bao Sin (Desmond's Creations),Cantonese Restaurant,1.314240585160772,103.88782450422956,Restaurant
3,Sin Hin Restaurant,Asian Restaurant,1.319785286416963,103.885765457607,Restaurant
4,Singapore Basketball Centre,Basketball Court,1.3207803623788372,103.8878728070413,Misc.
5,Shi Wei Xian HongKong Tim Sum,Dim Sum Restaurant,1.3197403514635426,103.88575980500613,Restaurant
6,Sean Kee Duck Rice,Chinese Restaurant,1.3144597481067506,103.88858696959619,Restaurant
7,Geylang East Market & Food Centre,Food Court,1.3207153419767448,103.88671236955305,Restaurant
8,Ng Soon Kee Fish & Duck Porridge,Chinese Restaurant,1.320907804660663,103.88667360339814,Restaurant
9,L32 手工面 Hand Made Noodles,Noodle House,1.3139135,103.88706,Restaurant
10,悦意坊 Yes Natural F & B Vegetarian Restaurant,Vegetarian / Vegan Restaurant,1.3158283108791142,103.88380745580389,Restaurant
11,Swee Guan Hokkien Mee,Noodle House,1.3139985096552385,103.88570603774998,Restaurant
12,觀音齋 Kwan Inn Vegetarian Food,Vegetarian / Vegan Restaurant,1.315932,103.886388,Restaurant
13,Quan Kee Wanton Noodles 权记云吞面 (Quan Kee Wanton Noodles),Noodle House,1.3203526318945198,103.88726440216084,Restaurant
14,New Scissors-Cut Curry Rice 新剪刀剪咖喱饭,Chinese Restaurant,1.3145055948294593,103.88860210746061,Restaurant
15,FairPrice,Grocery Store,1.321795597634414,103.88657284320169,Misc.
16,119 Kopitiam,Chinese Restaurant,1.3196801978142656,103.8866636678799,Restaurant
17,NTUC Fairprice,Grocery Store,1.3216244004413404,103.8865530832893,Misc.
18,The Ranch,Steakhouse,1.3163278177096742,103.88376016722196,Quick Bite
19,Garden Pastry & Cake,Bakery,1.321333758895108,103.88656878115316,Quick Bite
20,北京能人聚 (Beijing Nenrenju),Chinese Restaurant,1.3144071629993737,103.88884111624036,Restaurant
21,Geylang East Sin Hin Food Centre,Asian Restaurant,1.3177512255432315,103.88554675220222,Restaurant
22,Durians@Geylang Lor 36,Dessert Shop,1.3161015130289007,103.88800613925888,Quick Bite
23,Soon Soon Soon Wanton Noodles 顺顺顺云吞面,Noodle House,1.314534731644769,103.88957843059742,Restaurant
24,Guan Guan Kopitiam,Food Court,1.319307,103.890352,Restaurant
25,Sin Huat Eating House 新发海鲜馆,Seafood Restaurant,1.314389775772265,103.88850510306393,Restaurant
26,H23 Eating House,Food Court,1.3210779723044885,103.88660607038051,Restaurant
27,Hokee Pau (和记包）,Dim Sum Restaurant,1.3153328664311423,103.88378158902611,Restaurant
28,Geylang East Swimming Complex,Pool,1.3208816506048684,103.8880705833435,Misc.
29,和記包,Asian Restaurant,1.3159839197709104,103.88801977846175,Restaurant
30,Sin Hock Heng Teochew Porridge,Chinese Restaurant,1.314710003823449,103.8897529729114,Restaurant
31,Aljunied MRT Station (EW9),Train Station,1.3164126210332519,103.88305903175021,Misc.
32,Kwong Satay,Asian Restaurant,1.3139520996941416,103.88567097585782,Restaurant
33,Bus Stop 81049 (aft Lor 34 Geylang),Bus Station,1.3142209161564276,103.8873161723635,Misc.
