,name,categories,lat,lng,groupby
0,Dessert Story,Dessert Shop,1.372575563672924,103.89379612222575,Quick Bite
1,Soup Restaurant 三盅兩件,Chinese Restaurant,1.3726123839879774,103.89385821194863,Restaurant
2,成發咖啡屋 Seng Huat Coffee House,Food Court,1.3721690480623452,103.89359285128654,Restaurant
3,Phoon Huat & Co,Kitchen Supply Store,1.3712224815496226,103.89469513942286,Misc.
4,Tiew Mai Thai Boat Noodle,Thai Restaurant,1.3700687370309148,103.89518071464443,Restaurant
5,Subway,Sandwich Place,1.3726656195076743,103.89371002056279,Misc.
6,Pepper Lunch,Fast Food Restaurant,1.3721856912055035,103.89371220164111,Restaurant
7,Yolé,Frozen Yogurt Shop,1.3722404628122065,103.89355304476992,Quick Bite
8,NTUC FairPrice,Supermarket,1.371775817983331,103.89406787500465,Shop
9,Qiji,Asian Restaurant,1.372115758607321,103.89372982617333,Restaurant
10,Toast Box 土司工坊,Café,1.3721903351339129,103.89371120973274,Misc.
11,Old Street Bak Kut Teh 驰名老街肉骨茶,Chinese Restaurant,1.3724920018722537,103.89388824729747,Restaurant
12,5 Star Corner Western Food,Coffee Shop,1.3704609761526334,103.89469302579282,Quick Bite
13,Popular Bookstore,Bookstore,1.372621345650996,103.8937089156863,Misc.
14,NTUC FairPrice,Supermarket,1.3726992909498252,103.89380712777752,Shop
15,Watsons,Pharmacy,1.3726583435051896,103.89365687516838,Misc.
16,McDonald's,Fast Food Restaurant,1.3721694306586665,103.89362063099654,Restaurant
17,805 Hougang Coffeeshop,Food Court,1.3705481935322057,103.89462329894572,Restaurant
18,KFC,Fast Food Restaurant,1.3721722886183798,103.89349996242368,Restaurant
19,Starbucks,Coffee Shop,1.3725992451299331,103.89378436704884,Quick Bite
20,Ichiban Sushi,Sushi Restaurant,1.3724055484356317,103.89396931070108,Restaurant
21,Hougang MRT Station (NE14),Metro Station,1.3720614395466892,103.89348508310796,Misc.
22,The Manhattan Fish Market,Fish & Chips Shop,1.3726798469235408,103.89373003745166,Shop
23,Kawa Cafe,Café,1.372081127611642,103.89374560299558,Misc.
24,Pizza Hut,Pizza Place,1.3722779111952925,103.8938842362195,Restaurant
25,Hougang Mall,Shopping Mall,1.37270194826032,103.89379270523777,Shop
26,Kang Kar Mall,Shopping Mall,1.3715719886578583,103.89426314623284,Shop
27,Mr Bean,Dessert Shop,1.3726813028727767,103.89374740504405,Quick Bite
28,Hougang ActiveSG Gym,Gym,1.3706223763113012,103.88869616702847,Misc.
29,PlayGround @ Hougang Ave 6 Blk 424,Playground,1.37396,103.893635,Misc.
30,Bus Stop 64379,Bus Station,1.374675043234663,103.8927334333833,Misc.
31,Wei Long Yuan Eating House,Chinese Restaurant,1.3718577347773102,103.88909030070026,Restaurant
32,Bus Stop 64429 (Blk 412),Bus Station,1.3748876833317787,103.89509870976865,Misc.
