,name,categories,lat,lng,groupby
0,UNIQLO,Clothing Store,1.333175096970959,103.74316037528905,Shop
1,MUJI 無印良品,Furniture / Home Store,1.3331868724770302,103.74306435074546,Misc.
2,Song Fa Bak Kut Teh 松發肉骨茶,Chinese Restaurant,1.3333938719531726,103.74341967353692,Restaurant
3,Johan Paris,Bakery,1.334083168771419,103.74238405765479,Quick Bite
4,The Rink,Skating Rink,1.3334240944657456,103.74034536911829,Misc.
5,Platinum Movie Suites,Movie Theater,1.3334250947997497,103.7441133014962,Entertainment
6,Books Kinokuniya,Bookstore,1.3334816668155773,103.74316317743188,Misc.
7,Tonkatsu by Ma Maison とんかつ マメゾン (Tonkatsu by Ma Maison),Japanese Restaurant,1.3336684475675613,103.74281781453568,Restaurant
8,Cathay Cineplexes,Multiplex,1.3333892927617659,103.74357229807055,Entertainment
9,Dian Xiao Er 店小二 (Dian Xiao Er),Chinese Restaurant,1.333446950468997,103.74309389919995,Restaurant
10,Green Dot,Vegetarian / Vegan Restaurant,1.333641335086254,103.74285825778365,Restaurant
11,TOKYU HANDS,Department Store,1.3343412171318205,103.74325862645334,Entertainment
12,Pepper Lunch,Japanese Restaurant,1.3333617653895071,103.74308602950269,Restaurant
13,Westgate,Shopping Mall,1.3342247401660687,103.74282360076903,Shop
14,Yolé,Frozen Yogurt Shop,1.3340037871685584,103.7423294840126,Quick Bite
15,Paradise Dynasty 樂天皇朝 (Paradise Dynasty),Chinese Restaurant,1.3343641995442241,103.74361170963756,Restaurant
16,Sabar38,Seafood Restaurant,1.3331843250031363,103.74021649360657,Restaurant
17,J-Walk,Trail,1.333945866041842,103.74443292617798,Misc.
18,Zaffron Kitchen,Indian Restaurant,1.3336536649052213,103.7429579953445,Restaurant
19,H&M,Clothing Store,1.3330846178286244,103.74290745123292,Shop
20,Beng Hiang Restaurant,Chinese Restaurant,1.3339448465548012,103.74033272670263,Restaurant
21,"Tsukada Nojo 塚田農場 Japanese ""Bijin Nabe"" Restaurant",Japanese Restaurant,1.3337184281965402,103.74249835919925,Restaurant
22,KOI Café,Bubble Tea Shop,1.334147660709995,103.74327277499832,Quick Bite
23,Jem,Shopping Mall,1.33331926,103.74311676,Shop
24,FairPrice Xtra,Supermarket,1.3331666858123183,103.74312000380677,Shop
25,Robinsons,Department Store,1.3334748418426703,103.74324633410984,Entertainment
26,Paris Baguette,Bakery,1.3328951722410927,103.74350403919387,Quick Bite
27,Saizeriya Ristorante E Caffe,Italian Restaurant,1.3331448362428437,103.74038238448014,Restaurant
28,MOS Burger,Burger Joint,1.3331640438197827,103.7432841150114,Restaurant
29,Chir Chir,Korean Restaurant,1.3334341125698779,103.7431003201838,Restaurant
30,Soi 19 Thailand Wanton Mee,Coffee Shop,1.3352987899793434,103.73922964680678,Quick Bite
31,Teo Heng KTV Studio,Karaoke Bar,1.3335722893379596,103.74014085803987,Bars
32,Aburi Sushi Heishirou,Sushi Restaurant,1.3337717962021967,103.74258639144085,Restaurant
33,一風堂 Ippudo,Ramen Restaurant,1.33447,103.7427,Restaurant
34,The Coffee Bean & Tea Leaf,Coffee Shop,1.333490417697433,103.74311115728305,Quick Bite
35,Hai Di Lao 海底捞火锅 (Hai Di Lao),Hotpot Restaurant,1.3345768891941545,103.7461175279862,Restaurant
36,Oppa Korean Grill BBQ,Korean Restaurant,1.3333491577884535,103.74036620098873,Restaurant
37,Coach Factory Outlet,Accessories Store,1.3343901533204785,103.74610231748218,Misc.
38,Sushi Tei,Japanese Restaurant,1.3333844277488305,103.7435069249378,Restaurant
39,Saladworks,Salad Place,1.3329837194395786,103.74303139114313,Restaurant
40,Starbucks,Coffee Shop,1.3337122626885134,103.74255524384465,Quick Bite
41,Brotzeit German Bier Bar & Restaurant,German Restaurant,1.3337304351000416,103.74255397949256,Restaurant
42,IMM Garden Plaza,Playground,1.3347741620170932,103.74612133804085,Misc.
