,name,categories,lat,lng,groupby
0,Carl's Jr.,Fast Food Restaurant,1.340574772014918,103.70638409348805,Restaurant
1,Subway,Sandwich Place,1.3402782215026714,103.70654837343909,Misc.
2,Din Tai Fung 鼎泰豐 (Din Tai Fung),Chinese Restaurant,1.3390294738962747,103.70576467069365,Restaurant
3,Legendary Hong Kong 港饮港食,Cha Chaan Teng,1.339817312976089,103.70589077097227,Misc.
4,Starbucks,Coffee Shop,1.338905506248772,103.70564235029383,Quick Bite
5,Ya Kun Kaya Toast,Breakfast Spot,1.339619026719961,103.70578609670542,Restaurant
6,Malaysia Boleh!,Food Court,1.3388558900922622,103.70521529434546,Restaurant
7,4Fingers Crispy Chicken,Wings Joint,1.3405153370978315,103.70642670526469,Misc.
8,Jurong Point,Shopping Mall,1.3393380454590473,103.70588789754389,Shop
9,Monster Curry,Japanese Curry Restaurant,1.3389723093681292,103.70589561015095,Restaurant
10,Soup Restaurant 三盅两件,Chinese Restaurant,1.3403399840747485,103.7065201234175,Restaurant
11,Popular Bookstore,Bookstore,1.3403822999886263,103.70679173340145,Misc.
12,KFC,Fast Food Restaurant,1.339841876840794,103.70652844653279,Restaurant
13,PUTIEN Restaurant 莆田菜馆,Chinese Restaurant,1.3403995886337043,103.70646756600489,Restaurant
14,Dian Xiao Er 店小二,Chinese Restaurant,1.338877321920833,103.70551659537135,Restaurant
15,Boon Lay Cafe,Coffee Shop,1.3390516517106479,103.70587093073208,Quick Bite
16,Ya Kun Kaya Toast 亞坤,Coffee Shop,1.3400372461543018,103.70667643634059,Quick Bite
17,Sushi Express 争鮮回転寿司,Sushi Restaurant,1.3387845551939093,103.70525966634135,Restaurant
18,Challenger,Electronics Store,1.3395191481529172,103.70590581578159,Misc.
19,Pizza Hut,Pizza Place,1.340255354770622,103.70663937814875,Restaurant
20,Golden Village,Multiplex,1.3403784530831864,103.70645178943121,Entertainment
21,Shihlin Taiwan Street Snacks 士林台湾小吃,Asian Restaurant,1.3387312352479275,103.7053315063212,Restaurant
22,McDonald's / McCafé,Fast Food Restaurant,1.3392128300502797,103.70867580591214,Restaurant
23,McDonald's / McCafé,Fast Food Restaurant,1.3398517874852698,103.70655761174972,Restaurant
24,Central Hong Kong Cafe 中环香港茶餐厅,Asian Restaurant,1.3404009483632162,103.70593904606093,Restaurant
25,Ichiban Boshi,Japanese Restaurant,1.3389864856170495,103.7059128540334,Restaurant
26,Shokutsu TEN Japanese Food Street,Japanese Restaurant,1.3394017453176106,103.70695393835204,Restaurant
27,Jurong Central Park,Park,1.3392498975765903,103.70869587088727,Misc.
28,The Coffee Bean & Tea Leaf,Café,1.339328012999082,103.70714079653568,Misc.
29,Bakerzin,Café,1.3389674344958176,103.70594140828362,Misc.
30,Hee Kee Desserts 囍记,Dessert Shop,1.3389091473521704,103.70573018129777,Quick Bite
31,EAT. 24 Hrs,Asian Restaurant,1.3388617748184624,103.70592606257698,Restaurant
32,A-One Claypot House,Asian Restaurant,1.339372472628682,103.70696969337239,Restaurant
33,Long John Silver's,Fast Food Restaurant,1.3388464299060479,103.70546875240605,Restaurant
34,Men-ichi Japanese Ramen (麺いち),Japanese Restaurant,1.33937591191307,103.7068967088148,Restaurant
35,Share Tea 歇脚亭,Bubble Tea Shop,1.3389582027366747,103.70580060977834,Quick Bite
36,Crystal Jade La Mian Xiao Long Bao 翡翠拉面小笼包,Asian Restaurant,1.3402549819846261,103.70593031459542,Restaurant
37,FairPrice Xtra,Supermarket,1.3396949569719252,103.70574474334717,Shop
38,Fish & Co.,Seafood Restaurant,1.3391159480014476,103.70627910291128,Restaurant
39,Ji De Chi Dessert 記得吃,Dessert Shop,1.339267950012733,103.70653863493634,Quick Bite
40,Pepper Lunch,Japanese Restaurant,1.3390260194020647,103.7056107732215,Restaurant
41,Kabe no Ana,Japanese Restaurant,1.3393715382957265,103.70684652593816,Restaurant
42,Kuishin Bo Dining,Japanese Restaurant,1.3393946285140166,103.70691662239113,Restaurant
43,Swensen's,American Restaurant,1.338923943025222,103.70569574220775,Restaurant
44,Prata Wala,Indian Restaurant,1.338960456428529,103.70609769827603,Restaurant
45,KoHong Foot Reflexology,Massage Studio,1.3394573989625869,103.70591479616154,Misc.
46,Old Chang Kee,Snack Place,1.338666753692638,103.70530924443538,Misc.
47,Grandma's,Asian Restaurant,1.3388952840736414,103.70563751435364,Restaurant
48,Hong Kong Egglet,Dessert Shop,1.340395496773492,103.70580871910724,Quick Bite
49,Popeyes Louisiana Kitchen,Fried Chicken Joint,1.3388655762107387,103.70554381558505,Misc.
50,EnergyOne Jurong,Gym / Fitness Center,1.3352252034449004,103.70681739347184,Misc.
51,Lai Lai Kitchen,Asian Restaurant,1.3393951792027106,103.70693481384698,Restaurant
52,Chocolate Origin,Café,1.3394819383127476,103.70678148601901,Misc.
53,Wee Nam Kee Chicken Rice,Asian Restaurant,1.3389421683347427,103.70557171430606,Restaurant
54,Ideas Inc,Gift Shop,1.3387939809250893,103.70553016662598,Shop
55,MOS Burger,Fast Food Restaurant,1.340031727443936,103.70662461825788,Restaurant
56,Point Medical Group,Pharmacy,1.341905,103.706768,Misc.
57,Ajisen Ramen 味千拉麵,Noodle House,1.3386956227905236,103.70502804887658,Restaurant
58,Playground @ 664B,Playground,1.3386907310481733,103.7033133054121,Misc.
59,Rasa Istimewa Restaurant @ Jurong Safra,Halal Restaurant,1.335528,103.706345,Restaurant
60,BBQ Pits @ Jurong SAFRA,BBQ Joint,1.335399426356568,103.70738098544294,Misc.
61,Hanis,Café,1.335377887523763,103.70705295712217,Misc.
62,Astro Boy,Clothing Store,1.3389934415564302,103.70310117533901,Shop
63,Art in the Park @ Jurong West,Playground,1.3403335643841578,103.70301488153741,Misc.
