,name,categories,lat,lng,groupby
0,FairPrice Finest,Supermarket,1.301438751483533,103.90708423340703,Shop
1,Grand Mercure Roxy Singapore Executive Lounge,Lounge,1.3030515251044013,103.9049998041604,Misc.
2,Fish Mart Sakuraya,Japanese Restaurant,1.3017542194274494,103.90551635826483,Restaurant
3,UNIQLO,Clothing Store,1.3020416598698463,103.90478677800732,Shop
4,Platinum Yoga,Yoga Studio,1.3020615763117291,103.90553704899264,Misc.
5,Din Tai Fung 鼎泰豐,Dumpling Restaurant,1.3020053115767403,103.90544770770254,Restaurant
6,Hotel Indigo Katong Singapore,Hotel,1.3049455217424328,103.9043498117134,Restaurant
7,Birds of Paradise Gelato Boutique,Ice Cream Shop,1.3050508016046973,103.9037873237259,Shop
8,The Roxy Pool Bar,Hotel Bar,1.3034904440609538,103.90470555236962,Restaurant
9,Cathay Cineplexes,Multiplex,1.3013472481969308,103.90555400857569,Entertainment
10,East Coast Trail,Trail,1.301450887198575,103.90878509078907,Misc.
11,Grand Mercure Singapore Roxy,Hotel,1.3032177053241887,103.904701381275,Restaurant
12,Parkway Parade,Shopping Mall,1.3016241413507441,103.90535623212644,Shop
13,Chalk Farm,Dessert Shop,1.3009458752876701,103.90563784460645,Quick Bite
14,Holiday Inn Express Singapore Katong,Hotel,1.3044815903914975,103.904736918201,Restaurant
15,Parkland Green,Recreation Center,1.2990270204852852,103.90689117435453,Misc.
16,The Original Katong Laksa,Noodle House,1.3049154617366978,103.90370457033026,Restaurant
17,The Chop House,Steakhouse,1.3053494117336444,103.90532863721843,Quick Bite
18,Starbucks,Coffee Shop,1.2988516651520514,103.90676491724324,Quick Bite
19,Mei Yaa Foot Massage,Massage Studio,1.3034226529338784,103.9051619917185,Misc.
20,Village Hotel Katong,Hotel,1.3035168776255084,103.90316911963484,Restaurant
21,Wan Yang Foot Reflexology,Massage Studio,1.3052392297280524,103.90503154592746,Misc.
22,Shin Minori Japanese Restaurant,Japanese Restaurant,1.304866350052578,103.9044561371745,Restaurant
23,Golden Village,Multiplex,1.3053901620829855,103.90497324577433,Entertainment
24,"Gold Class, GV Katong",Multiplex,1.305382950415223,103.90494916318733,Entertainment
25,Wahiro,Japanese Restaurant,1.304948679425415,103.90360282624574,Restaurant
26,Five Star Hainanese Chicken Rice Restaurant,Chinese Restaurant,1.3069817960395573,103.90645968089075,Restaurant
27,Harvest,Salad Place,1.305216020202017,103.90408463221601,Restaurant
28,Katong,Neighborhood,1.3058866783157643,103.90500068664551,Misc.
29,Yong's Teochew Kueh (榮潮州粿),Bakery,1.3064694815451063,103.9056707239813,Quick Bite
30,Mongkok Dim Sum,Dim Sum Restaurant,1.3070801888446775,103.90661635141686,Restaurant
31,Alt. Pizza,Pizza Place,1.305912,103.904524,Restaurant
32,Zaffron Kitchen,Indian Restaurant,1.305964456008981,103.9050898901239,Restaurant
33,Boon Tong Kee 文東記,Chinese Restaurant,1.3071011299768975,103.90666199434727,Restaurant
34,Starker Bistro,Bistro,1.305098232076428,103.90450346177806,Bars
35,Feet Haven,Massage Studio,1.306268532929705,103.90542500884968,Misc.
36,Katsuya Restaurant,Japanese Restaurant,1.3054469102481125,103.90397071838377,Restaurant
