,name,categories,lat,lng,groupby
0,Hai Yan BBQ Seafood,Seafood Restaurant,1.312084,103.8395,Restaurant
1,Hup Kee Fried Oyster Omelette 合記炒蠔煎,Chinese Restaurant,1.3121870894840317,103.83954553084332,Restaurant
2,Heng Carrot Cake,Asian Restaurant,1.3120799750284224,103.83976544798027,Restaurant
3,Newton Food Centre,Food Court,1.3119489901287666,103.83956682309288,Restaurant
4,Chui Huay Lim Teochew Cuisine,Chinese Restaurant,1.3139704597030852,103.84154464351671,Restaurant
5,Lifestyle Fitness,Gym / Fitness Center,1.3120017600309841,103.83644016148388,Misc.
6,Bangkok Express,Thai Restaurant,1.311705065994275,103.83927866344747,Restaurant
7,XO Minced Meat Noodle,Noodle House,1.3117897358300443,103.83949127729245,Restaurant
8,Cheng Ballet Academy,Dance Studio,1.31179369528792,103.84188185052503,Misc.
9,Sheraton Towers Singapore,Hotel,1.3118244335501041,103.83647605765873,Restaurant
10,7-Eleven,Convenience Store,1.312176173538034,103.83811646477324,Misc.
11,Li Bai Cantonese Restaurant,Chinese Restaurant,1.3117025546883803,103.83636136098552,Restaurant
12,貴興 Kwee Heng,Chinese Restaurant,1.311673496204694,103.83948778635084,Restaurant
13,Executive Lounge,Hotel Bar,1.3114193694764729,103.83671681347228,Restaurant
14,Kushi Japanese Dining Bar,Japanese Restaurant,1.3166600282107797,103.84149081590266,Restaurant
15,Ng Ah Sio Bak Kut Teh 黄亚细肉骨茶,Chinese Restaurant,1.3136553111943112,103.84147819091777,Restaurant
16,Lucky Newton Seafood Stall 82,Seafood Restaurant,1.3120015190925982,103.83968257170125,Restaurant
17,Sheraton Towers Poolside,Pool,1.3120175636629408,103.83637347501903,Misc.
18,Lobby Bar,Hotel Bar,1.3116623110823689,103.83641989767955,Restaurant
19,Skyve Wine Bistro,Wine Bar,1.3102660895356637,103.84169130434049,Bars
20,INDOCAFE the white house,Café,1.3110351767920387,103.83570045232773,Misc.
21,DOMVS by Gabriel Fratini,Italian Restaurant,1.3119672195158765,103.83648284085645,Restaurant
