,name,categories,lat,lng,groupby
0,BMTC Cookhouse 2,Cafeteria,1.4056154575353894,104.03093576431274,Cafeteria
1,Tekong Canteen,Café,1.4062491603802363,104.03058101869608,Café
2,Cougar/Dragon Lecture Theater,College Theater,1.4053044148928193,104.03385400772095,College Theater
3,School 2 Canteen,Coffee Shop,1.4063107788971154,104.03028622593966,Coffee/Tea Shops
4,BMTC School 2 Leopard Company,School,1.4043140051110992,104.03196192322133,School
5,Stadium @ Tekong,Track Stadium,1.4043069330355553,104.03310298919678,Track Stadium
6,SBL Mess,Food Court,1.4038939968732524,104.0318638086319,Restaurant
7,The Scabbard,Café,1.403840599016511,104.03212302173483,Café
8,Pulau Tekong Parade Square,Plaza,1.4074656241217112,104.02973413467407,Plaza
9,Tekong : A BMT Journey,History Museum,1.406747,104.029059,History Museum
10,Pulau Tekong,Island,1.4069990605121954,104.02870416641235,Island
