,name,categories,lat,lng,groupby
0,Ah Chew Desserts 阿秋甜品 (Ah Chew Desserts),Dessert Shop,1.318411,103.843714,Quick Bite
1,Joe & Dough,Sandwich Place,1.3207382003202968,103.84381922112256,Misc.
2,Courtyard by Marriott Singapore Novena,Hotel,1.320527693070273,103.84322136640549,Restaurant
3,Udders,Ice Cream Shop,1.3182527806436282,103.84394754984936,Shop
4,Two Men Bagel House,Bagel Shop,1.3207178616455315,103.84293343507376,Shop
5,Mama Patisserie,Bakery,1.3212708574414043,103.84412906866375,Quick Bite
6,Sō Ramen,Ramen Restaurant,1.3197487338621987,103.84318780819322,Restaurant
7,Running Lab,Sporting Goods Shop,1.3192038076678338,103.84354814266091,Shop
8,La Ristrettos,Café,1.3206992596498968,103.84414994643637,Misc.
9,Toast Box 土司工坊,Café,1.3202597311365911,103.84364057231635,Misc.
10,Starbucks Reserve,Coffee Shop,1.3176731682929055,103.84402113019289,Quick Bite
11,Starbucks,Coffee Shop,1.3199546511297626,103.84437845987021,Quick Bite
12,QQ Rice,Restaurant,1.3214176715829382,103.84452428399291,Restaurant
13,Hong Kong Street Family Restaurant,Chinese Restaurant,1.3206990933881666,103.84250345617124,Restaurant
14,SF Food & Beverage,Juice Bar,1.3202166394376142,103.84385168552399,Quick Bite
15,Starbucks,Coffee Shop,1.3216945579236998,103.8451616456468,Quick Bite
16,The Clue-less Goat,Café,1.318624,103.843542,Misc.
17,True Fitness,Gym,1.3192285991142607,103.84368453755198,Misc.
18,海底捞Hai Di Lao Hotpot,Hotpot Restaurant,1.3204152220961956,103.84313143919303,Restaurant
19,Oasia Hotel Singapore,Hotel,1.320261217502309,103.84472638540623,Restaurant
20,A-Roy Thai Restaurant,Thai Restaurant,1.3193925658888797,103.84353235223082,Restaurant
21,Barcook Bakery,Bakery,1.3212669194877014,103.84419473496541,Quick Bite
22,Hokkaido Fish Market,Japanese Restaurant,1.320667,103.844305,Restaurant
23,Caveman Food,Food Stand,1.3210620632342724,103.8446761775709,Restaurant
24,Ling Zhi | 灵芝,Vegetarian / Vegan Restaurant,1.3199133229979796,103.8433431571341,Restaurant
25,Curry Times,Asian Restaurant,1.3201360327657405,103.8445350593381,Restaurant
26,Urbana Rooftop Bar,Bar,1.3206679206356537,103.84334980655888,Bars
27,Kajiken,Ramen Restaurant,1.3211630035083475,103.84396522454088,Restaurant
28,Brauhaus Restaurant & Pub,German Restaurant,1.3172041613115102,103.84424602943048,Restaurant
29,Workspace Espresso Bar,Café,1.3196931201435624,103.84338234087497,Misc.
30,Once Upon A Thyme,Italian Restaurant,1.3208209891612548,103.84452568335907,Restaurant
31,The Coffee Bean & Tea Leaf,Coffee Shop,1.3215976837027061,103.84609412894656,Quick Bite
32,Da Luca Italian Restaurant,Italian Restaurant,1.3183205331461998,103.8422662569608,Restaurant
33,Jollibee,Fast Food Restaurant,1.3212431681463168,103.84394359100344,Restaurant
34,Ichiban Boshi,Sushi Restaurant,1.317506138230302,103.84383638730563,Restaurant
35,"Club Lounge, Oasia Hotel Singapore",Hotel,1.3199929893398932,103.84465192768081,Restaurant
36,The Marmalade Pantry,Bistro,1.3202407729105006,103.8446295261383,Bars
37,Nonya Peranakan Cuisine,Asian Restaurant,1.3205035596001473,103.84195268154144,Restaurant
38,Tonkotsu Kazan Ramen,Ramen Restaurant,1.321175330783019,103.84426220490023,Restaurant
39,Nickeldime Drafthouse,Gastropub,1.321230245097269,103.84152352809906,Misc.
40,Tuk Tuk Cha Thai Tea & Coffee,Café,1.3195417194142918,103.84346000072715,Misc.
41,New Balance,Sporting Goods Shop,1.3191494346512367,103.84336872833966,Shop
42,Nara Japanese Restaurant,Japanese Restaurant,1.3179151456854772,103.84355230732412,Restaurant
43,Chye Kee Goldhill Roasted Chicken Rice,Asian Restaurant,1.318204,103.843848,Restaurant
44,Soup Restaurant 三盅兩件,Chinese Restaurant,1.3173006724062426,103.84423720958344,Restaurant
45,Novena MRT Station (NS20),Metro Station,1.3200863125684148,103.84359175195553,Misc.
46,Cedele by Bakery Depot,Café,1.3198868477406487,103.843373990526,Misc.
47,Matsuo Sushi Restaurant,Japanese Restaurant,1.3183316,103.842636,Restaurant
48,Ya Kun Kaya Toast 亞坤,Coffee Shop,1.317354594975209,103.8442284768033,Quick Bite
49,Cold Storage,Supermarket,1.317011767424131,103.84388234096063,Shop
50,Duckland,Chinese Restaurant,1.3171835,103.8439,Restaurant
51,Wine Connection Bistro,Restaurant,1.316804,103.844,Restaurant
52,Subway,Sandwich Place,1.321511572432217,103.8460108075912,Misc.
53,Tan Tock Seng Hospital Pharmacy,Pharmacy,1.3205874824029324,103.84486640117701,Misc.
54,The Forest by Wangz,Hotel,1.3186649098924657,103.84766228863818,Restaurant
55,Wee Nam Kee 威南记海南鸡饭餐室 (Wee Nam Kee),Hainan Restaurant,1.3171111335276484,103.84399000558166,Restaurant
56,Saizeriya Ristorante E Caffe,Italian Restaurant,1.3170523530010536,103.84417222919568,Restaurant
57,Cedele by Bakery Depot,Café,1.317113865347674,103.84420227335991,Misc.
58,Toast Box 土司工坊,Café,1.3215063274292684,103.8460495817193,Misc.
59,Duyi Bookshop,Bookstore,1.3214751769620658,103.84609573008692,Misc.
60,Novena Park,Park,1.3225683494322769,103.84177439573078,Misc.
61,Daessiksin Korean Hotpot & BBQ Buffet,Korean Restaurant,1.317036,103.84422,Restaurant
62,TENSHO by MOF,Japanese Restaurant,1.3169291219427348,103.84394556283951,Restaurant
63,Irrawaddy Road,Road,1.3238509895514523,103.84539370571687,Misc.
