,name,categories,lat,lng,groupby
0,The Other Room,Speakeasy,1.3052971,103.83286,Misc.
1,Singapore Marriott Tang Plaza Hotel,Hotel,1.3052151067831215,103.8329674785042,Restaurant
2,SEPHORA,Cosmetics Shop,1.304699226912756,103.83172611839444,Shop
3,ION Orchard,Shopping Mall,1.3042612662371125,103.83184647871641,Shop
4,ION Sky,Scenic Lookout,1.303916252885501,103.8317172951239,Entertainment
5,Awfully Chocolate,Chocolate Shop,1.3037675,103.8318738,Shop
6,Nanbantei Japanese Restaurant,Japanese Restaurant,1.3071242662642004,103.83324974398565,Restaurant
7,Grand Hyatt Singapore,Hotel,1.3066028540563808,103.83270302021603,Restaurant
8,Bebek Goreng Pak Ndut,Indonesian Restaurant,1.304644758979596,103.8336672319635,Restaurant
9,Books Kinokuniya 紀伊國屋書店 (Books Kinokuniya),Bookstore,1.3036033447055164,103.83434959173653,Misc.
10,Isetan Scotts Supermarket,Supermarket,1.3052223385864605,103.8314164034861,Shop
11,Genki Sushi,Sushi Restaurant,1.3035787489709292,103.8344398388811,Restaurant
12,Bistro Du Vin,French Restaurant,1.3066215191551553,103.83163587293645,Restaurant
13,Bacha Coffee,Coffee Shop,1.303983,103.831428,Quick Bite
14,KOI Café,Bubble Tea Shop,1.303931,103.833988,Quick Bite
15,Massimo Dutti,Boutique,1.3047368312174676,103.83181056126031,Shop
16,Sanpoutei Ramen 三宝亭,Ramen Restaurant,1.3052239898482743,103.83173371434225,Restaurant
17,Chanel (ION),Cosmetics Shop,1.3051368507007965,103.83302715784407,Shop
18,Martini Bar,Cocktail Bar,1.306294,103.833242,Bars
19,Tory Burch,Boutique,1.3038712173193596,103.8330329156942,Shop
20,Starbucks,Coffee Shop,1.3048834686626891,103.83132442122069,Quick Bite
21,IMAX Theatres Lido,Movie Theater,1.305051512817676,103.83175649392284,Entertainment
22,Mezza9,Restaurant,1.306338,103.833206,Restaurant
23,Tiong Bahru Bakery,Bakery,1.3042549738999334,103.833050375854,Quick Bite
24,Ginza Sushi Ichi,Sushi Restaurant,1.305124,103.832666,Restaurant
25,YOTEL Singapore,Hotel,1.3064156026090619,103.83120825997078,Restaurant
26,Louis Vuitton,Boutique,1.3073645,103.8324041,Shop
27,Johan Paris,Bakery,1.305167061815458,103.83161188712289,Quick Bite
28,Yolé,Frozen Yogurt Shop,1.3037735799196513,103.83314641696663,Quick Bite
29,Hermes,Miscellaneous Shop,1.305514913642026,103.83088385840854,Shop
30,KOI Café,Bubble Tea Shop,1.3040953116178768,103.8318759444745,Quick Bite
31,Cartier,Jewelry Store,1.3047487008026046,103.83183446658511,Shop
32,Royal Plaza On Scotts,Hotel,1.3067407698264968,103.83273055210626,Restaurant
33,COS,Boutique,1.3034737647282053,103.83234099766901,Shop
34,Shaw Theatres,Multiplex,1.3051111239718747,103.83181030649035,Entertainment
35,Ginza Kuroson,Sushi Restaurant,1.3028176464322871,103.83370204128543,Restaurant
36,lululemon athletica,Clothing Store,1.3036562243824992,103.8341922825625,Shop
37,Typo,Arts & Crafts Store,1.3039846803062907,103.83298197239739,Entertainment
38,Dior,Boutique,1.3042938133157185,103.83261070332311,Shop
39,Lutong Pinoy,Asian Restaurant,1.3044849433562764,103.83371317568853,Restaurant
40,Din Tai Fung 鼎泰豐 (Din Tai Fung),Dumpling Restaurant,1.3033501956077214,103.83503093692873,Restaurant
41,kikki.K,Stationery Store,1.304663285894533,103.83185760487729,Misc.
42,Taste Paradise 味之樓,Chinese Restaurant,1.304353827615559,103.83171532609262,Restaurant
43,Nespresso Boutique,Coffee Shop,1.3044225204732054,103.83124048784526,Quick Bite
44,La Taperia,Spanish Restaurant,1.3065181760573574,103.83177720711984,Restaurant
45,Moleskine Store,Paper / Office Supplies Store,1.3047089987806912,103.83186346143866,Misc.
46,In Good Company,Boutique,1.304388148508606,103.83129507081887,Shop
47,Tangs,Department Store,1.3043176775649756,103.83273399211996,Entertainment
48,Aldo,Shoe Store,1.3048408650426482,103.83140444349964,Shop
49,Tarte by Cheryl Koh,Bakery,1.3064475675230025,103.83190131400227,Quick Bite
50,CHANEL Boutique,Boutique,1.3032563184848251,103.83420068220903,Shop
51,TWG Tea Salon & Boutique,Tea Room,1.304047488403016,103.8320380062144,Quick Bite
52,MUJI,Miscellaneous Shop,1.3047984952919294,103.83139495952904,Shop
53,Minang House,Asian Restaurant,1.3037424077026007,103.83411995850898,Restaurant
54,Lucky Chicken Rice,Asian Restaurant,1.3046080236040543,103.83449053190095,Restaurant
55,Sari Ratu Restaurant,Indonesian Restaurant,1.304469620392478,103.83454554520544,Restaurant
