,name,categories,lat,lng,groupby
0,ClubFITT Gym,Gym,1.3739678426786983,103.95203931473996,Misc.
1,Cottage Pies Cafe,Bakery,1.3729334103957793,103.94960792684566,Quick Bite
2,Subway,Sandwich Place,1.372508645293549,103.94941999461136,Misc.
3,Pasir Ris Town Park,Park,1.372644708666043,103.95225048065186,Misc.
4,Saizeriya Ristorante E Caffe,Italian Restaurant,1.3723782170005063,103.94926110383247,Restaurant
5,Pasir Ris Central Hawker Centre,Food Court,1.3733275323762193,103.95173519122831,Restaurant
6,Starbucks,Coffee Shop,1.3725183953673978,103.94944983362899,Quick Bite
7,Subway,Sandwich Place,1.37264,103.950119,Misc.
8,McDonald's,Fast Food Restaurant,1.3742861231258763,103.95146264641716,Restaurant
9,White Sands Shopping Centre,Shopping Mall,1.3724327567675692,103.94948394638837,Shop
10,Pasir Ris Sports & Recreation Centre,Recreation Center,1.3741177894556795,103.95151232628591,Misc.
11,Cookhouse by Koufu,Food Court,1.372647648550216,103.95004698131314,Restaurant
12,KFC,Fast Food Restaurant,1.3725176995810868,103.95007884366613,Restaurant
13,Arches Hair Spa,Salon / Barbershop,1.372455312131258,103.94950541810685,Bars
14,Pastamania,Italian Restaurant,1.3739945338968895,103.95184507422461,Restaurant
15,Ananas Cafe,Asian Restaurant,1.3726060545143997,103.94938930981033,Restaurant
16,Fareground,Food Court,1.3733527347416468,103.95169342310203,Restaurant
17,Sushi Express,Sushi Restaurant,1.3725145692210778,103.94994879519133,Restaurant
18,NTUC FairPrice,Supermarket,1.3725479107734047,103.94948574239149,Shop
19,Ya Kun Kaya Toast 亞坤,Coffee Shop,1.3724771942243048,103.95004195122605,Quick Bite
20,McDonald's,Fast Food Restaurant,1.3724321294542305,103.94936916075831,Restaurant
21,Nine Fresh (九鲜) Desserts Taiwan,Dessert Shop,1.3723967,103.94962,Quick Bite
22,Bus Stop 77321 (aft Pasir Ris Street 53),Bus Station,1.37321831714793,103.94829556268216,Misc.
23,Bike Station @ Pasir Ris MRT,Bike Rental / Bike Share,1.3718229029344013,103.948720709503,Misc.
24,Shihlin Taiwan Street Snacks,Asian Restaurant,1.3733808883216716,103.94968955613908,Restaurant
25,Mr Bean,Snack Place,1.372489322892702,103.94906632067936,Misc.
26,Duan Pandan Rice Dumpling,Dumpling Restaurant,1.3724648190291024,103.94976887721796,Restaurant
27,7-Eleven,Convenience Store,1.3729968634621161,103.94933827762426,Misc.
28,Refresh BODYWORKS family,Spa,1.3724196530043467,103.94951958255236,Misc.
29,The Old Malaya Cafe,Café,1.372453035972236,103.95006916457301,Misc.
30,Guardian Pharmacy,Pharmacy,1.372453078422947,103.94995497687653,Misc.
31,Pasir Ris SRC Swimming Pool,Pool,1.3743499478743066,103.95219385794532,Misc.
32,NTUC Foodfare,Restaurant,1.3694883433402023,103.94830967489486,Restaurant
33,PCN Pit Stop,Bike Rental / Bike Share,1.3747420551516407,103.95232983943617,Misc.
34,Bus Stop 77139 (Blk 582),Bus Line,1.3753287960478142,103.94633896607193,Misc.
35,Sheng Siong Supermarket,Fruit & Vegetable Store,1.369422994485066,103.94776886681008,Misc.
