,name,categories,lat,lng,groupby
0,Lickers,Ice Cream Shop,1.3529193,103.88659,Shop
1,Ciel Pâtisserie,Dessert Shop,1.3529286,103.88663,Quick Bite
2,Blue Star Fried Hokkien Mee,Noodle House,1.3538303846640205,103.88902052902112,Restaurant
3,一流香 Nasi Lemak,Breakfast Spot,1.3540247217876755,103.89016807079315,Restaurant
4,Hougang 105 Hainanese Village Centre (Lorong Ah Soo Food Centre),Food Court,1.3541747961684714,103.89001258266562,Restaurant
5,Da Zhong Cafe,Coffee Shop,1.3545301163087051,103.89026789222936,Quick Bite
6,Punggol Noodles 榜鹅肉脞面,Noodle House,1.3545518634818419,103.89044902472975,Restaurant
7,Molly Nonya Cake & Confectionery,Bakery,1.3546293672081013,103.89049040565607,Quick Bite
8,DJ Bakery,Bakery,1.3578155118832675,103.88679668817149,Quick Bite
9,Flavour Flings,Café,1.3538504268768994,103.88700306415558,Misc.
10,Lorong Ah Soo Lor Mee,Noodle House,1.3541082421771888,103.88961220519789,Restaurant
11,大众茶室,Breakfast Spot,1.3543888157059008,103.89028525976508,Restaurant
12,Blk 239 Hougang St 22 Singapore,Restaurant,1.3558585310315463,103.88980893776106,Restaurant
13,Xin Yuan Ji 新源记魚头炉,Cafeteria,1.3534923912579044,103.89081774184841,Quick Bite
14,Maplewood Park,Park,1.3519129410638333,103.88536957092084,Misc.
15,The Cocoa Trees,Candy Store,1.353766,103.891386,Misc.
