,name,categories,lat,lng,groupby
0,Jurong West Swimming Complex,Pool,1.338226962073866,103.69401165806582,Misc.
1,Jurong West ActiveSg Gym,Gym / Fitness Center,1.3379214307694804,103.69451454786707,Misc.
2,McDonald's,Fast Food Restaurant,1.341657689621912,103.69683393353712,Restaurant
3,Jurong West Sports and Recreation Centre,Stadium,1.3384936555025502,103.69487643241882,Misc.
4,Bus Stop 22469 (Blk 653B),Bus Station,1.3363699246796976,103.69634628295898,Misc.
5,Giant Hyper,Supermarket,1.3420188306419947,103.69708806794748,Shop
6,7-Eleven,Convenience Store,1.3355355093616401,103.69525314189463,Misc.
7,Playground @ Jurong West Street 61,Playground,1.3404270995315581,103.69920879631431,Misc.
8,Fitness Corner,Gym,1.3356883365536245,103.69438725148683,Misc.
9,Pioneer Mall,Shopping Mall,1.3418449706723092,103.69698627383572,Shop
10,Yang Ming Yuan Nursery,Flower Shop,1.336119,103.693798,Shop
11,Watsons,Pharmacy,1.341903912323986,103.69698061860959,Misc.
