,name,categories,lat,lng,groupby
0,Healing Touch,Spa,1.2913183,103.80741,Misc.
1,Ah Pang Steamboat & Seafood,Seafood Restaurant,1.29336088674229,103.80255911455026,Restaurant
2,Queenstown MRT Station (EW19),Train Station,1.2944070611010403,103.80614027638268,Misc.
3,Ristorante Takada,Italian Restaurant,1.2913957481561824,103.80779351379176,Restaurant
4,No Signboard Braised Duck Noodles,Chinese Restaurant,1.2931879512324316,103.80283224997343,Restaurant
5,Mei Ling Market & Food Centre,Food Court,1.2930065383947533,103.8030420787205,Restaurant
6,新路 Fishball Noodle,Noodle House,1.2930452445201912,103.80290252449913,Restaurant
7,Queenstown Swimming Complex,Pool,1.2967187262621243,103.802466826198,Misc.
8,Cafe Galilee,Café,1.2984776442103012,103.80521122251378,Misc.
9,Queenstown Stadium,Stadium,1.2962761196418218,103.80269050598145,Misc.
10,Shi Hui Yuan Hor Fun Specialty,Noodle House,1.2931601884781159,103.80302846431732,Restaurant
11,Sin Kee Famous Chicken Rice 新记驰名鸡饭,Chinese Restaurant,1.2931421657689954,103.80259642495031,Restaurant
12,Hai Tang Lor Mee,Food Court,1.293312909665207,103.80309212443518,Restaurant
13,Hup Kee Teochew Fishball Mee,Food Court,1.2929403680715468,103.80293290002544,Restaurant
14,7 Stars (Food Court),Food Court,1.2950428457870813,103.81029746193367,Restaurant
