,name,categories,lat,lng,groupby
0,Old Airport Road Food Centre,Food Court,1.3079591130216996,103.88573767513394,Restaurant
1,Roast Paradise,BBQ Joint,1.3082801577255654,103.88617441792168,Misc.
2,Canton Jumbo 廣东珍寳,Cantonese Restaurant,1.3072203,103.88356,Restaurant
3,OAR Seafood Soup,Seafood Restaurant,1.308255,103.885791,Restaurant
4,Fatt Choy Mui Seafood Restaurant,Chinese Restaurant,1.30932,103.88465,Restaurant
5,Albert Street Prawn Noodle,Asian Restaurant,1.3077494463655703,103.88558369150584,Restaurant
6,Yoga Inc.,Yoga Studio,1.30813060895144,103.88230225296546,Misc.
7,Lai Huat Seafood Restaurant 来发海鲜菜馆,Seafood Restaurant,1.3119595636204764,103.88809006771774,Restaurant
8,Xin Mei Xiang Lor Mee,Noodle House,1.3083727,103.886086,Restaurant
9,Whitley Rd Big Prawn Noodle,Asian Restaurant,1.3079048749971802,103.8858216978231,Restaurant
10,Tanjong Rhu Pau & Confectionery,Dim Sum Restaurant,1.3118396287235783,103.88816177845001,Restaurant
11,The Tuckshop,Bar,1.31199,103.88855,Bars
12,Ju Shin Jung,Korean Restaurant,1.3103925910612888,103.88230195439044,Restaurant
13,Yi Ji Fried Hokkien Prawn Mee,Noodle House,1.3079397033969513,103.88580537554361,Restaurant
14,Sweet Garden Dessert Café,Dessert Shop,1.3097450456480348,103.88408987851021,Quick Bite
15,Lao Fu Zi Fried Kway Teow 老夫子炒粿条,Chinese Restaurant,1.3078346357170438,103.8856195721948,Restaurant
16,Ru Ji Kitchen,Noodle House,1.3080091874574482,103.88538395060013,Restaurant
17,G.Spa,Spa,1.3100681917398054,103.88239034780673,Misc.
18,Kallang Estate Fresh Market & Food Centre,Food Court,1.3071406638549785,103.88381419256297,Restaurant
19,Tiong Bahru Lor Mee,Noodle House,1.308139185573914,103.8859755276146,Restaurant
20,Bing Go Jung Korean Dessert House,Dessert Shop,1.3103859941502356,103.8822924311362,Quick Bite
21,NTUC FairPrice,Supermarket,1.3075648958558617,103.88475585360601,Shop
22,Dakota Residences Swimming Pool,Pool,1.3065557155637864,103.8872230052948,Misc.
23,大肥魚㘣肉脞面,Noodle House,1.307251,103.88393,Restaurant
24,The Camera Library,Camera Store,1.306583871436063,103.88258010149002,Misc.
