,name,categories,lat,lng,groupby
0,Khakabo,Gaming Cafe,1.302576764930306,103.85203234292875,Quick Bite
1,Taste Good 好味小厨,Chinese Restaurant,1.3033315811301733,103.85323418866052,Restaurant
2,Barcook Bakery,Bakery,1.3021026012074726,103.85351816124387,Quick Bite
3,DECK,Art Gallery,1.3017711699553403,103.85164477551746,Entertainment
4,The Wired Monkey,Café,1.3043689418545306,103.8541755080223,Misc.
5,LASALLE College of the Arts,General College & University,1.3028907116734387,103.85164039427548,Misc.
6,HOT SPOT Cafe Restaurant,Chinese Restaurant,1.3027697374275917,103.85262924049793,Restaurant
7,Bismillah Biryani,Indian Restaurant,1.3049563442216707,103.8536024986668,Restaurant
8,Komala Vilas Restaurant,Vegetarian / Vegan Restaurant,1.3065231023400516,103.85184782229042,Restaurant
9,AR-Rahman Royal Prata,Indian Restaurant,1.3059706507206752,103.85066899378491,Restaurant
10,Wing Seong Fatty's Restaurant,Asian Restaurant,1.3026969128955779,103.85270048867372,Restaurant
11,Komala Vilas (Buffalo Rd),Indian Restaurant,1.30630783470852,103.85115839497581,Restaurant
12,The Malayan Council,Café,1.3045673828362816,103.8540207558091,Misc.
13,Sakunthala's Restaurant,Indian Restaurant,1.305999997725627,103.85216933591353,Restaurant
14,Vege pot,Vegetarian / Vegan Restaurant,1.300237,103.852457,Restaurant
15,Merely Ice Cream,Ice Cream Shop,1.300024899100789,103.85127804387558,Shop
16,Artichoke Café + Bar,Middle Eastern Restaurant,1.2996784329253392,103.85197776850217,Restaurant
17,Una Una,Japanese Restaurant,1.299518,103.854266,Restaurant
18,Ramen Keisuke Tonkotsu King Four Seasons,Ramen Restaurant,1.3010174492510505,103.85538090972429,Restaurant
19,The Countryside Cafe,Café,1.3051716593526832,103.85344405070788,Misc.
20,Ya Kun Kaya Toast 亞坤,Café,1.3004079699831526,103.85190233705629,Misc.
21,chimichanga,Dive Bar,1.3047545464509687,103.853834156752,Bars
22,Bunc,Hostel,1.305516,103.854911,Misc.
23,Nobu-ya,Japanese Restaurant,1.3002166524004797,103.85211059317326,Restaurant
24,Twenty Eight Cafe,Café,1.3019794326565868,103.84894923473331,Misc.
25,UNIQLO,Clothing Store,1.2996745495195967,103.85449317385314,Shop
26,Genki Sushi,Sushi Restaurant,1.2999339924786673,103.85384669574326,Restaurant
27,Albert Centre Market & Food Centre,Food Court,1.3010240283840613,103.85447670434318,Restaurant
28,Bershka,Women's Store,1.2995243683655755,103.85438232744077,Misc.
29,Gokul Vegetarian Restaurant,Vegetarian / Vegan Restaurant,1.306399685163606,103.85256182776824,Restaurant
30,Objectifs - Centre for Photography and Film,Art Gallery,1.2998160764163533,103.85222355397913,Entertainment
31,Madras New Woodlands Restaurant,Vegetarian / Vegan Restaurant,1.306408409241221,103.85242431811125,Restaurant
32,Ice Lab,Dessert Shop,1.300834062865161,103.85576319474144,Quick Bite
33,i Darts Halo,Sports Bar,1.2995340767316206,103.85438119965899,Bars
34,Kult Kafe,Music Venue,1.3032753838021673,103.84839939506655,Misc.
35,The ZALORA Pop-Up,Pop-Up Shop,1.299536849008303,103.85423183441162,Shop
36,Mount Emily Park,Playground,1.303830107429058,103.84817917860914,Misc.
37,ABC (Cheaper Store In Singapore)@ Bugis Village,Convenience Store,1.3008000496429595,103.85458903771563,Misc.
38,Kane Mochi,Dessert Shop,1.299404438176802,103.85466487665747,Quick Bite
39,En Sushi,Sushi Restaurant,1.29898,103.853677,Restaurant
40,Mercure Hotel,Hotel,1.299684034114635,103.85311398821148,Restaurant
41,Simply Toys,Toy / Game Store,1.3000354801632976,103.85550837878665,Misc.
42,Curious Palette,Café,1.2998534633078165,103.8498779676909,Misc.
43,Bugis Street,Shopping Plaza,1.300538,103.85542,Shop
44,Bugis+,Shopping Mall,1.2995308542374624,103.85429608020127,Shop
45,SEPHORA,Cosmetics Shop,1.2995852622761919,103.85435123492988,Shop
