,name,categories,lat,lng,groupby
0,Starbucks,Coffee Shop,1.4481281132935184,103.81965198217407,Quick Bite
1,McDonald's,Fast Food Restaurant,1.4485522814289518,103.81992740654019,Restaurant
2,White Restaurant,Chinese Restaurant,1.4484677257620298,103.81986930816716,Restaurant
3,Sushi Express,Japanese Restaurant,1.4481183960933321,103.81934801161154,Restaurant
4,Swensen's,Bistro,1.448177166719735,103.8194713549583,Bars
5,Ya Kun Kaya Toast 亞坤,Coffee Shop,1.4481281417510359,103.81944098706671,Quick Bite
6,NTUC FairPrice,Supermarket,1.448071168837641,103.81941928535086,Shop
7,Sun Plaza,Shopping Mall,1.448386577730186,103.81974966033243,Shop
8,KFC,Fast Food Restaurant,1.447949625982657,103.81897128353275,Restaurant
9,Valu$,Discount Store,1.447929260493735,103.81894745806807,Misc.
10,食神,Buffet,1.448456385361664,103.8198911704452,Restaurant
11,NTUC Fairprice,Grocery Store,1.4492993966246932,103.81946098016113,Misc.
12,Refresh Bodyworks,Spa,1.448131375290886,103.81958842277527,Misc.
13,Sembawang 505 Coffee Shop,Coffee Shop,1.450005587626401,103.82218551472972,Quick Bite
14,HAO Mart,Convenience Store,1.450213,103.822916,Misc.
15,Bus Stop 58109 (Opp Blk 311),Bus Station,1.4466427261484198,103.82287715964644,Misc.
16,Bus Stop 58129 (Blk 508 CP),Bus Station,1.4528387416955566,103.819783622746,Misc.
17,Blk 358 Admiralty Drive Playground,Playground,1.449478515781803,103.8159063022572,Misc.
18,Sembawang Mart Flower Shop,Flower Shop,1.453319,103.820138,Shop
