,name,categories,lat,lng,groupby
0,Maki-san,Sushi Restaurant,1.3923110109254946,103.8949687237786,Restaurant
1,Ya Kun Family Cafe,Café,1.3919032285633344,103.89491278601824,Misc.
2,Starbucks,Coffee Shop,1.392367316242362,103.8950180617861,Quick Bite
3,Châteraisé,Pastry Shop,1.3922447904791313,103.89507935934154,Shop
4,Canton Paradise,Chinese Restaurant,1.3922989240422525,103.89512768870073,Restaurant
5,Cold Storage,Supermarket,1.3923423744341394,103.895036832252,Shop
6,kopitiam compassone (Kopitiam),Food Court,1.3922727763153966,103.89511364873853,Restaurant
7,Subway,Sandwich Place,1.3920523981589386,103.89533754871836,Misc.
8,Sengkang Sculpture Park,Sculpture Garden,1.3945493,103.89663,Misc.
9,McDonald's,Fast Food Restaurant,1.392464658740058,103.89517472645691,Restaurant
10,Jack's Place,Steakhouse,1.3922495503703987,103.89507989664473,Quick Bite
11,Kopitiam Square,Food Court,1.3914116301112787,103.89375257032209,Restaurant
12,Compass One,Shopping Mall,1.3923495643750352,103.89506811317483,Shop
13,KFC,Fast Food Restaurant,1.3921356,103.895355,Restaurant
14,Uncle Tony's Tuckshop,Asian Restaurant,1.3931002373129582,103.8943565364528,Restaurant
15,Swensen's,Restaurant,1.3923781125141068,103.89517558396439,Restaurant
16,Burger King,Fast Food Restaurant,1.3924458891275455,103.89519604623995,Restaurant
17,The Coffee Bean & Tea Leaf,Coffee Shop,1.3923470889259757,103.89518845507969,Quick Bite
18,The Brick Shop,Toy / Game Store,1.392216,103.894792,Misc.
19,Toastbox 士司工坊,Café,1.3923626,103.89502,Misc.
20,Mos Burger,Fast Food Restaurant,1.3924205350975265,103.895088987351,Restaurant
21,iGen,Mobile Phone Shop,1.391857,103.895392,Shop
22,royal london duck,Chinese Restaurant,1.391836,103.894646,Restaurant
23,Owndays,Optical Shop,1.392555,103.895101,Shop
24,Polar Puffs & Cakes,Bakery,1.391657337103658,103.89533257642627,Quick Bite
25,Bus Stop 67199 (Opp Blk 223D),Bus Station,1.3889649984955648,103.89694496275501,Misc.
26,Bus Stop 67249 (Blk 259C),Bus Station,1.3931523161685828,103.89760596243144,Misc.
27,260 basketball court,Basketball Court,1.3945535517891643,103.89566917749006,Misc.
28,Heavenly Wang,Asian Restaurant,1.3944155,103.89332,Restaurant
29,Bus Stop 67611 (Blk 204C),Bus Station,1.3877299916101862,103.89423351280405,Misc.
30,Bus stop 67619 (Blk 201C),Bus Station,1.3877465271088067,103.89400362968445,Misc.
