,name,categories,lat,lng,groupby
0,Baskin-Robbins,Ice Cream Shop,1.3506839349072417,103.8726111260402,Shop
1,UNIQLO,Clothing Store,1.3509152868348886,103.87199320474573,Shop
2,Blackball Singapore 黑丸嫩仙草,Dessert Shop,1.3499625239505741,103.87323222082676,Quick Bite
3,H&M,Clothing Store,1.3509902183688578,103.8723694975488,Shop
4,KOI Café,Bubble Tea Shop,1.3512528741610952,103.87221843977758,Quick Bite
5,Dian Xiao Er 店小二,Chinese Restaurant,1.3512693065289172,103.8724917465717,Restaurant
6,Kiddy Palace,Kids Store,1.3509223440018796,103.87256806990199,Misc.
7,PUTIEN Restaurant 莆田菜馆,Chinese Restaurant,1.3505739023038716,103.87270251332842,Restaurant
8,nex Sky Park,Scenic Lookout,1.3507770431385897,103.87254317480121,Entertainment
9,Pontian Wanton Mee,Noodle House,1.35117846597617,103.87250246071508,Restaurant
10,Shaw Theatres,Multiplex,1.3506098242760234,103.87197691579335,Entertainment
11,Boost Juice Bars,Juice Bar,1.349952447383126,103.8734117243085,Quick Bite
12,Food Park @ Lor Lew Lian,Coffee Shop,1.350911026810339,103.8760227875132,Quick Bite
13,FairPrice Xtra,Supermarket,1.3505495470490698,103.87247085571289,Shop
14,Kopitiam,Coffee Shop,1.3505495470490698,103.87619912624359,Quick Bite
15,The Pet Safari,Pet Store,1.3508894529403823,103.87210432388805,Misc.
16,Toast Box 土司工坊,Café,1.3509644744985583,103.87296125311622,Misc.
17,Penang Culture,Asian Restaurant,1.3508757527458473,103.87209936911127,Restaurant
18,Nando's,Portuguese Restaurant,1.349758295296175,103.87322970244074,Restaurant
19,Subway,Sandwich Place,1.3506046253119341,103.8727431700455,Misc.
20,Din Tai Fung 鼎泰豐 (Din Tai Fung),Dumpling Restaurant,1.351211,103.872216,Restaurant
21,Valu$,Thrift / Vintage Store,1.3508415169798924,103.8723645882328,Misc.
22,Ichiban Boshi,Japanese Restaurant,1.351276447977301,103.87213457826248,Restaurant
23,The Soup Spoon Union,Soup Place,1.3506804431281796,103.8725589307213,Restaurant
24,SEPHORA,Cosmetics Shop,1.3507100061779889,103.87269070865263,Shop
25,Yoshinoya,Fast Food Restaurant,1.3499236991153925,103.87324198674523,Restaurant
26,Goki Day Korean BBQ Buffet Restaurant,Korean Restaurant,1.3530543635615973,103.87669976711246,Restaurant
27,Four Leaves,Bakery,1.3500146133532498,103.87331800971297,Quick Bite
28,Cotton On,Clothing Store,1.3512687680517097,103.87236906547892,Shop
29,nex,Shopping Mall,1.3507469532696288,103.87274136600959,Shop
30,Chui Xiang Kitchen,Chinese Restaurant,1.3528326892744955,103.87657028795704,Restaurant
31,Seoul Garden,Korean Restaurant,1.3499472495334577,103.8732927560513,Restaurant
32,Anderson's Ice Cream,Ice Cream Shop,1.3512721814902369,103.8722301394659,Shop
33,MOS Burger,Fast Food Restaurant,1.3512266841432328,103.87193087828248,Restaurant
34,Isetan,Department Store,1.350220601450399,103.87304195338467,Entertainment
35,Popular Bookstore,Bookstore,1.3506353538926192,103.87247085571289,Misc.
36,Serangoon Sunshine Park,Park,1.3469244082513097,103.87428160464769,Misc.
37,Tai Lei Loi Kei 澳门大利来记猪扒包（新加坡） (Tai Lei Loi Kei),Macanese Restaurant,1.3512532471965546,103.87215800046248,Restaurant
38,Kabe no Ana,Japanese Restaurant,1.350907767978797,103.8716048267328,Restaurant
39,Bee Kee Wanton Noodles,Noodle House,1.350922374603029,103.87590113903677,Restaurant
40,S-Luck Eating House,Coffee Shop,1.352962602536768,103.87248514267402,Quick Bite
