,name,categories,lat,lng,groupby
0,Clarke Quay Riverside,Waterfront,1.29006,103.846157,Misc.
1,Clarke Quay,Shopping Plaza,1.2898926313610215,103.84581831679742,Shop
2,nomVnom,Vegetarian / Vegan Restaurant,1.2889771012307392,103.84693000137969,Restaurant
3,28 HongKong Street,Cocktail Bar,1.287737,103.846934,Bars
4,Swissôtel Merchant Court,Hotel,1.2884344233292604,103.84567350193224,Restaurant
5,Singapore River,River,1.288998060124862,103.84695836853678,Misc.
6,Annalakshmi,Vegetarian / Vegan Restaurant,1.28841382828086,103.84347244120048,Restaurant
7,Jumbo Seafood Restaurant,Seafood Restaurant,1.288983,103.844812,Restaurant
8,HeyTea (HEYTEA),Bubble Tea Shop,1.2899269930202624,103.84531132406703,Quick Bite
9,Zouk,Nightclub,1.2909945985318523,103.84594664397288,Club
10,Brewerkz Restaurant & Microbrewery,Brewery,1.289527,103.844098,Bars
11,DON DON DONKI,Supermarket,1.2890735397435973,103.8468450307846,Shop
12,Café Iguana,Mexican Restaurant,1.289006,103.844683,Restaurant
13,Energia Fitness Club,Gym,1.289306501045861,103.84421046317597,Misc.
14,Hai Di Lao Hot Pot,Hotpot Restaurant,1.2897975527933498,103.84555220603943,Restaurant
15,Yoga Movement,Yoga Studio,1.2887171971947502,103.84718466842857,Misc.
16,FOC by Nandu Jubany,Spanish Restaurant,1.2874602362180525,103.84750266372237,Restaurant
17,Shinzo Japanese Cuisine,Japanese Restaurant,1.2882370520908375,103.84767701382611,Restaurant
18,Meidi-Ya Supermarket,Supermarket,1.291953439994328,103.84490398926455,Shop
19,Le Noir,Lounge,1.289881971213239,103.84629886349114,Misc.
20,Song Fa Bak Kut Teh 松发肉骨茶 (Song Fa Bak Kut Teh),Breakfast Spot,1.28898,103.847693,Restaurant
21,Craftsmen Specialty Coffee,Café,1.2884437239166537,103.84670348315896,Misc.
22,"Bijin Nabe by Tsukada Nojo (Tsukada Nojo 塚田農場 Japanese ""Bijin Nabe"" Restaurant)",Japanese Restaurant,1.2916849463704412,103.84523806173848,Restaurant
23,Shuffle Music Bistro Bar,Diner,1.2894885690942093,103.84597173529612,Restaurant
24,Wine RVLT,Wine Shop,1.2881036275004856,103.84796194800866,Bars
25,Holiday Inn Express Singapore Clarke Quay,Hotel,1.2891212675430628,103.84196820918726,Restaurant
26,PARKROYAL COLLECTION,Hotel,1.2857538031996685,103.84616911411285,Restaurant
27,Get Juiced,Lounge,1.289886848240634,103.84646886466129,Misc.
28,Park Regis Hotel,Hotel,1.2883012772385207,103.84470425532683,Restaurant
29,Yakiniku YAZAWA,Japanese Restaurant,1.291828,103.842172,Restaurant
30,Barcook Bakery,Bakery,1.2889687578899118,103.8471714196279,Quick Bite
31,Jumbo Seafood Gallery 珍宝海鮮樓 (Jumbo Seafood Gallery),Seafood Restaurant,1.289276,103.848288,Restaurant
32,UNIQLO,Clothing Store,1.2919191497162534,103.84501003265346,Shop
33,Un-Yang-Kor-Dai,Thai Restaurant,1.287217,103.848307,Restaurant
34,Mazazu Crepe,Creperie,1.291965877970836,103.84497610942371,Misc.
35,Orchid Club,Hotel Bar,1.2855693301340603,103.84639413031155,Restaurant
36,Crazy Elephant,Pub,1.290335,103.846687,Misc.
37,Song Fa Bak Kut Teh 松發肉骨茶 (Song Fa Bak Kut Teh),Soup Place,1.2850016325223186,103.84452162500196,Restaurant
38,PUNCH,Bistro,1.2868304,103.84736,Bars
39,Haritts Donuts and Coffee,Donut Shop,1.2869086372908412,103.84555616428112,Quick Bite
40,Hokkaido Ramen Santouka らーめん山頭火 (Hokkaido Ramen Santouka),Ramen Restaurant,1.2890897937142294,103.84599656483617,Restaurant
41,Orihara Shoten,Sake Bar,1.292110431237257,103.84213920272278,Bars
42,The Chupitos Bar,Bar,1.290546235388454,103.8449194099839,Bars
43,Club illusion,Nightclub,1.2895327212120922,103.84513066810712,Club
44,The Connoisseur Concerto (TCC),Café,1.2893225287055006,103.8467667403329,Misc.
45,Ryoshi Sushi Ikeikemaru,Japanese Restaurant,1.2921465924379323,103.84473732797612,Restaurant
46,Break Through Cafeteria,Dim Sum Restaurant,1.2861758352210786,103.84358702873743,Restaurant
47,Headquarters,Nightclub,1.2877232260225064,103.84938113291551,Club
48,Basement Foodcourt,Food Court,1.285940511771489,103.84423877029343,Restaurant
49,Rosso vino,Italian Restaurant,1.290887356591298,103.84185892179642,Restaurant
50,Aquanova @ Clarke Quay,Bar,1.29047229662965,103.84554050679029,Bars
51,Swanston,Cosmetics Shop,1.2855465719556283,103.84304943242896,Shop
52,Southbridge,Bistro,1.2884173931217346,103.84922306338333,Bars
53,Muchos,Mexican Restaurant,1.289508860877438,103.84558053442879,Restaurant
54,Shinnpark,Gift Shop,1.2892995203589368,103.84675977105778,Shop
55,Neverland Clarke Quay,Nightclub,1.2904178206815144,103.84549293430524,Club
56,Shiraz Mazzeh,Middle Eastern Restaurant,1.2898097482315294,103.84526485564818,Restaurant
57,Duke Bakery,Bakery,1.2919136189920601,103.84495211160117,Quick Bite
58,Chir Chir,Wings Joint,1.2857752554690676,103.84508013725281,Misc.
59,Crossfit Mobilus,Gym / Fitness Center,1.2888758053446059,103.8489553273492,Misc.
60,Din Tai Fung 鼎泰豐 (Din Tai Fung),Dumpling Restaurant,1.2849752416123,103.84455831544543,Restaurant
61,Coleman Bridge,Bridge,1.2899909586271028,103.84818484019756,Misc.
62,Ikeda Spa Prestige,Spa,1.2893227906757465,103.84663237287937,Misc.
63,Fort Canning Lighthouse @ Fort Canning Hill,Lighthouse,1.2917840356166008,103.84787793974996,Entertainment
64,Outram Park Fried Kway Teow Mee,Noodle House,1.2854458678501226,103.84592186945488,Restaurant
65,Quayside Seafood Restaurant,Seafood Restaurant,1.290363112302069,103.84471851787401,Restaurant
66,Hong Lim Market & Food Centre 芳林巴刹与熟食中心 (Hong Lim Complex Market & Food Centre),Food Court,1.2851543665131335,103.84583338042434,Restaurant
67,Astons Specialities,American Restaurant,1.2891544266700508,103.84645581424473,Restaurant
68,Fitness First Platinum,Gym / Fitness Center,1.285972100677441,103.84797697919014,Misc.
69,Dutch Colony Coffee Co.,Coffee Shop,1.2922177065792186,103.84257135635868,Quick Bite
70,Clarke Quay Food Street,Food Court,1.2910234,103.84546,Restaurant
71,Novotel Singapore Clarke Quay,Hotel,1.2916083796929316,103.84499332291716,Restaurant
72,Shirokane Tori-tama,Japanese Restaurant,1.291862,103.842069,Restaurant
73,Tampopo,Japanese Restaurant,1.2916486832040601,103.84525305026324,Restaurant
74,Ah Sam Cold Drink Stall,Cocktail Bar,1.2874967995008197,103.84930193424223,Bars
75,Daiso,Miscellaneous Shop,1.285948854040187,103.84503173962904,Shop
76,Hotel Bencoolen HongKong St.,Hotel,1.2872591554423811,103.84785405504694,Restaurant
77,Club V3 - Live On Stage,Nightclub,1.286952813413976,103.84802161856713,Club
78,Gyu-Kaku,Japanese Restaurant,1.291917836899394,103.8425242664958,Restaurant
79,G-Max Reverse Bungee,Theme Park Ride / Attraction,1.290284794732461,103.84697657290549,Entertainment
80,KOI Café,Bubble Tea Shop,1.2857127213506756,103.84476738060108,Quick Bite
81,Super Siam Thai Restaurant,Thai Restaurant,1.2876915218071785,103.84318008812458,Restaurant
82,The Fabulous Baker Boy,Bakery,1.2919091600849988,103.84606648552052,Quick Bite
83,SaladStop!,Salad Place,1.285574792243028,103.84732008412615,Restaurant
84,Alchemy,Pub,1.2886975783470815,103.84270411880135,Misc.
85,The Japanese Curry Shop,Japanese Curry Restaurant,1.2921158112772255,103.84488249671887,Restaurant
86,Tendon Kohaku,Japanese Restaurant,1.2858063244645515,103.84474580838571,Restaurant
87,The Dragon Chamber,Speakeasy,1.287958,103.848926,Misc.
88,Lime,Buffet,1.2854625083544926,103.84693250260547,Restaurant
89,Sheng Siong Supermarket,Supermarket,1.2869675939406924,103.8418968990773,Shop
90,Central Perk,Café,1.2884567877240192,103.84202778339385,Misc.
91,The Bicycle Hut,Bike Rental / Bike Share,1.2897600113810055,103.84926974773407,Misc.
92,UNIQLO,Clothing Store,1.2850136086346242,103.84444055840106,Shop
93,Tai Wah Pork Noodle,Noodle House,1.285342767754342,103.84596310949125,Restaurant
94,Park Hotel Clarke Quay,Hotel,1.2918044306809717,103.84231320451597,Restaurant
95,MASA Steak and Hamburg,Steakhouse,1.2921958519285135,103.84201313942793,Quick Bite
96,Azmaya,Japanese Restaurant,1.2910208779502785,103.84116805831954,Restaurant
97,Bella Pizza,Pizza Place,1.2908932107773678,103.84103697786738,Restaurant
98,Lotus Kitchen,Vegetarian / Vegan Restaurant,1.2849656481844314,103.84438525973258,Restaurant
99,Saizeriya Ristorante E Cafe,Italian Restaurant,1.2848892147720552,103.84462003526309,Restaurant
