,name,categories,lat,lng,groupby
0,Marina Bay Downtown Area (MBDA),Harbor / Marina,1.2790415374388213,103.85495626876134,Misc.
1,Pure Fitness,Gym,1.2786308470437144,103.85148741278418,Misc.
2,LeVeL 33 Craft-Brewery Restaurant & Lounge,Brewery,1.280395665493566,103.85420436595382,Bars
3,SOS,Pub,1.279995674897267,103.85292497900159,Misc.
4,NUDE Seafood,Seafood Restaurant,1.2789930213970169,103.85449233549566,Restaurant
5,Din Tai Fung 鼎泰豐 (Din Tai Fung),Dumpling Restaurant,1.2805480195922938,103.85384274600021,Restaurant
6,Imperial Treasure Super Peking Duck Restaurant 御寶至尊烤鴨店,Peking Duck Restaurant,1.279406223512814,103.85172794656997,Restaurant
7,Asia Square,Plaza,1.2783397029195316,103.8515133586859,Misc.
8,The Westin Singapore,Hotel,1.2782748644512303,103.85077194308906,Restaurant
9,the matcha project x copper express,Café,1.2813219749170086,103.85272251255627,Misc.
10,Marina Bay Waterfront Promenade,Waterfront,1.2811245137355043,103.85555642836434,Misc.
11,Westin Infinity Pool,Pool,1.2780572315130252,103.8510768539789,Misc.
12,Forbidden Duck 鸭大哥,Chinese Restaurant,1.2800267,103.85436,Restaurant
13,Lobby Lounge Westin,Bar,1.277810500182125,103.85096556565624,Bars
14,OLA Cocina del Mar,Spanish Restaurant,1.2792415032452291,103.85448982931128,Restaurant
15,Marina Bay Financial Centre (MBFC) Tower 3,Building,1.2791088214480704,103.85442020125268,Misc.
16,Salad Stop!,Salad Place,1.2810094978531088,103.85241534850374,Restaurant
17,Gym @ The Sail Tower (Marina Bay),Gym,1.2811697740392778,103.8530631104665,Misc.
18,Lau Pa Sat Satay Street,Street Food Gathering,1.280261,103.850235,Restaurant
19,Cook & Brew,Gastropub,1.2778415275084345,103.85110267205697,Misc.
20,The Promontory @ Marina Bay,Waterfront,1.2814526195464295,103.85408163070679,Misc.
21,Lau Pa Sat Festival Market,Food Court,1.2805818978847052,103.85044020580223,Restaurant
22,Starbucks,Coffee Shop,1.279335,103.854128,Quick Bite
23,Pure Yoga,Yoga Studio,1.2777454038749743,103.85099312010902,Misc.
24,Anglo Indian Cafe & Bar,Indian Restaurant,1.2790836483039665,103.85012677894278,Restaurant
25,Westin Executive Club Lounge,Hotel Bar,1.2780292287568735,103.85115108279892,Restaurant
26,Fitness First Platinum,Gym / Fitness Center,1.2821144459978928,103.85213084353455,Misc.
27,Sofitel So Singapore,Hotel,1.280016815397146,103.84981314280776,Restaurant
28,Guzman Y Gomez,Mexican Restaurant,1.2783921784969778,103.85083927116398,Restaurant
29,Circle Line Art @ Marina Bay MRT Station,Art Gallery,1.2759860529670908,103.85490183430602,Entertainment
30,Grain Traders,Restaurant,1.281468,103.850039,Restaurant
31,Super Loco Custom House,Mexican Restaurant,1.282502,103.853714,Restaurant
32,Alchemist,Café,1.2811961463460806,103.85050239068553,Misc.
33,Caffe Fernet,Italian Restaurant,1.2826692114051046,103.85374749884602,Restaurant
34,Harry's,Pub,1.2802035561766771,103.85449963110545,Misc.
35,Standing Sushi Bar,Sushi Restaurant,1.280537020119431,103.85315278340417,Restaurant
36,La Brasserie,Café,1.283112539646023,103.85331066421297,Misc.
37,Artemis Grill,Modern European Restaurant,1.2819640906980638,103.85038494276205,Restaurant
38,Joe & Dough,Sandwich Place,1.2802715826093478,103.85517942214035,Misc.
39,Thunder Tea Rice,Chinese Restaurant,1.2804858033438946,103.85069547995374,Restaurant
40,Mexout,Mexican Restaurant,1.2791867690515584,103.85448622960857,Restaurant
41,Dimbulah,Café,1.2807866,103.85145,Misc.
42,Jewel Coffee,Café,1.279097207942327,103.85035435608579,Misc.
43,Kinki Restaurant & Bar,Japanese Restaurant,1.2825617986023137,103.85366453580399,Restaurant
44,Marina Bay Sands Olympic Walk,Scenic Lookout,1.2812140010789572,103.85660804486326,Entertainment
45,Tao Seafood Asia,Chinese Restaurant,1.2782001452351262,103.85093879544215,Restaurant
46,Urban Roti,North Indian Restaurant,1.2802443099838159,103.85065019741309,Restaurant
47,The Tower Club,Lounge,1.2828858688114204,103.85111191299613,Misc.
48,The Providore,Café,1.2780488836327972,103.84939915153375,Misc.
49,Wheat Baumkuchen,Japanese Restaurant,1.2783983545587794,103.8514310489938,Restaurant
50,Lantern,Cocktail Bar,1.2832618010900512,103.85359781518986,Bars
51,Fitness First Platinum,Gym / Fitness Center,1.2788951231123298,103.8544804332395,Misc.
52,Wafuken,Japanese Restaurant,1.2782553127301914,103.8511631365698,Restaurant
53,Lunar Coffee Roaster,Coffee Shop,1.2781706069143353,103.84945248960479,Quick Bite
54,Starbucks,Coffee Shop,1.2779491644187164,103.85098549913906,Quick Bite
55,The Black Swan,Cocktail Bar,1.2826894086964717,103.85035708191681,Bars
56,Paris Baguette,Bakery,1.2800683618550286,103.85085456278766,Quick Bite
57,Pizza Express,Pizza Place,1.278072459669621,103.85302012598467,Restaurant
58,Fish Soup @ Arcade,Chinese Restaurant,1.2833937139489695,103.8527641433882,Restaurant
59,The Landing Point,Hotel Bar,1.2835978417702665,103.85319689173761,Restaurant
60,The Sandwich Shop,Sandwich Place,1.2792182005709969,103.85452383628984,Misc.
61,Ascott Raffles Place,Hotel,1.2820908255578936,103.85165959596634,Restaurant
62,Breadtalk,Bakery,1.2795862403676075,103.852889135552,Quick Bite
63,Virgin Active,Gym / Fitness Center,1.2777488343805083,103.85258305496443,Misc.
64,Pho Stop,Vietnamese Restaurant,1.2775870547118091,103.84914405394194,Restaurant
65,Tatsu,Japanese Restaurant,1.27842311305447,103.8514970867909,Restaurant
66,Subway,Sandwich Place,1.2795858729281837,103.85286915389514,Misc.
67,Tong Le Private Dining,Chinese Restaurant,1.2835242227582133,103.85307313113758,Restaurant
68,Starbucks,Coffee Shop,1.276988,103.852458,Quick Bite
69,Red Dot Design Museum Singapore,Museum,1.2800206777488874,103.85623812675476,Misc.
70,The Exchange,Coffee Shop,1.278948004234832,103.85451353397943,Quick Bite
71,The Great Moscow Circus,Circus,1.28061,103.857389,Misc.
72,Hup Lee Cafeteria,Food Court,1.2834032822989418,103.85274815718736,Restaurant
73,Majestic Restaurant,Chinese Restaurant,1.276716,103.85403,Restaurant
74,Food Garden,Food Court,1.2783247947384897,103.8514937280737,Restaurant
75,Hans im Glück,Burger Joint,1.2826770287540725,103.85091912677048,Restaurant
76,Seasonal Tastes,Buffet,1.2778360784072829,103.85111012232929,Restaurant
