,name,categories,lat,lng,groupby
0,Hougang 6 Miles Famous Muah Chee,Snack Place,1.3322404428254564,103.84797692298889,Misc.
1,Venus Beauty,Cosmetics Shop,1.3334776631537115,103.84828640222594,Shop
2,Lucky Pisang Raja,Coffee Shop,1.3341684798443632,103.84970706119212,Quick Bite
3,Kiddy Palace,Kids Store,1.3331232436155103,103.8470642206847,Misc.
4,Yolé,Frozen Yogurt Shop,1.3323529419772626,103.847820527722,Quick Bite
5,Lee Fun Nam Kee Chicken Rice & Restaurant 李范南记鸡饭 (Lee Fun Nam Kee Chicken Rice & Restaurant),Chinese Restaurant,1.338852973414481,103.85016024112701,Restaurant
6,Crystal Jade Jiangnan 翡翠江南,Chinese Restaurant,1.3323170591290494,103.84930304369583,Restaurant
7,Nine Fresh Dessert (Toa Payoh),Dessert Shop,1.333418,103.847404,Quick Bite
8,Chai Hock Eating House,Coffee Shop,1.3346264456126935,103.85133571346596,Quick Bite
9,根叔美食世界 Uncle Gen's Hong Kong Cuisine,Chinese Restaurant,1.3348154102697563,103.85202345143922,Restaurant
10,Da-ji Hainanese Chicken Rice,Asian Restaurant,1.3360796,103.85287,Restaurant
11,Starbucks,Coffee Shop,1.3325640206814517,103.84893716616595,Quick Bite
12,McDonald's,Fast Food Restaurant,1.3325727233610476,103.84790248287244,Restaurant
13,Pin Xiang Wanton Mee,Noodle House,1.3382714659691197,103.84947999240833,Restaurant
14,Old Chang Kee,Snack Place,1.3332647848833792,103.84726200439911,Misc.
15,NTUC FairPrice,Supermarket,1.3329653413933886,103.84731731986714,Shop
16,Cake History,Bakery,1.3327173550885172,103.84769262812033,Quick Bite
17,Soi 47 Thai Food,Thai Restaurant,1.337063678687585,103.85383863325977,Restaurant
18,Toa Payoh Vista Market,Food Court,1.3348084455016795,103.85197645437357,Restaurant
19,Shrove Tuesday,Café,1.3390034947429015,103.8492322726458,Misc.
20,Tiong Bahru Pau,Snack Place,1.332707554652508,103.84836664024226,Misc.
21,Ichiban Sushi,Japanese Restaurant,1.3325763756510105,103.84798494426738,Restaurant
22,Ang Mo Supermarket,Grocery Store,1.3359882340409037,103.84790742264221,Misc.
23,Rahmath Cheese Prata,Indian Restaurant,1.3348291816536704,103.85204761952566,Restaurant
24,Lik Ming Toa Payoh Laksa,Noodle House,1.3386,103.849481,Restaurant
25,Tims Restaurant & Cafe,Steakhouse,1.3391455,103.84905,Quick Bite
26,KOI Café,Bubble Tea Shop,1.3321889159627305,103.84787428171347,Quick Bite
27,Gourmet Paradise,Food Court,1.332150984757566,103.84794943319808,Restaurant
28,Ocean Curry Fish Head 海洋咖喱鱼头 (Ocean Curry Fish Head),Chinese Restaurant,1.3380529,103.849655,Restaurant
29,MOS Burger,Burger Joint,1.332578069439908,103.84800471962983,Restaurant
30,Traditional Penang Food 槟城家乡味,Chinese Restaurant,1.332913553688313,103.84826816744665,Restaurant
31,Mun Ting Xiang Tea House 滿庭香茶軒,Chinese Restaurant,1.3316570759364033,103.84947933715642,Restaurant
32,Blk 93 Lorong 4 Toa Payoh Market & Food Centre,Food Court,1.3383617874909866,103.84952383754937,Restaurant
33,Uno Beef House,Steakhouse,1.3379907760599496,103.85227093952113,Quick Bite
34,Kuey Chap 淉汁,Asian Restaurant,1.3383331246305559,103.84955497862963,Restaurant
35,Chef Kang’s Noodle House,Noodle House,1.337389,103.848805,Restaurant
36,Jack's Place,Steakhouse,1.3313306991496934,103.84922129230826,Quick Bite
37,Kim Keat Hokkien Mee 金吉炒福建面,Noodle House,1.3380606,103.84966,Restaurant
38,Blk 75 Toa Payoh Lorong 5 Hawker Centre,Food Court,1.3360624649157988,103.85308777374497,Restaurant
39,Popular Bookstore,Bookstore,1.3321010056549052,103.8472580909729,Misc.
40,Lai Heng Mushroom Minced Meat Mee,Noodle House,1.3380458029418232,103.8523296217304,Restaurant
41,Wang Thai Kitchen (旺泰小橱),Thai Restaurant,1.3382746769019982,103.84943743901528,Restaurant
42,港式小炒 @ Palmspring Market ToaPayoh,Coffee Shop,1.3365849055336838,103.85193286349433,Quick Bite
43,Rojak 美记,Snack Place,1.3368676033998679,103.85335963063716,Misc.
