,name,categories,lat,lng,groupby
0,KOI Cafè,Bubble Tea Shop,1.4297866685073348,103.8362951657566,Quick Bite
1,Sushi Tei,Sushi Restaurant,1.429925641398503,103.8357545930369,Restaurant
2,Wee Nam Kee,Hainan Restaurant,1.4293665783034157,103.83627830756917,Restaurant
3,Heng Hua Restaurant 兴化美食,Chinese Restaurant,1.4272309436716886,103.83326849536728,Restaurant
4,Green Dot,Vegetarian / Vegan Restaurant,1.429349,103.836221,Restaurant
5,Din Tai Fung 鼎泰豐,Chinese Restaurant,1.4291174037145247,103.83609119621141,Restaurant
6,Share Tea 歇脚亭,Tea Room,1.4293483540366487,103.8355963041344,Quick Bite
7,928 Yishun Laksa,Noodle House,1.4273988201934307,103.83745110615244,Restaurant
8,MOS Burger,Burger Joint,1.4294128729498763,103.83671130290806,Restaurant
9,Guzman Y Gomez,Mexican Restaurant,1.4286643491345354,103.83589851520537,Restaurant
10,Coba Coba,Halal Restaurant,1.4313394107939927,103.8334258809983,Restaurant
11,Starbucks,Coffee Shop,1.4293701868553466,103.83546584914363,Quick Bite
12,Shami Banana Leaf Delights,Indian Restaurant,1.4294015440302474,103.8356024449762,Restaurant
13,Arnold's Fried Chicken,Fried Chicken Joint,1.430101726384335,103.8364082062982,Misc.
14,Yishun 925 Hainanese Chicken Rice,Hainan Restaurant,1.4284168381544933,103.83750421370334,Restaurant
15,Harvey Norman Northpoint,Furniture / Home Store,1.429450968462084,103.83558186396931,Misc.
16,Kanshoku Ramen Bar,Ramen Restaurant,1.429509,103.835839,Restaurant
17,Malaysia Chiak!,Food Court,1.4275909219392204,103.83612493400868,Restaurant
18,The Coffee Bean & Tea Leaf,Café,1.429103,103.835698,Misc.
19,Popular Bookstore,Bookstore,1.4298943000107922,103.83571510144114,Misc.
20,Zepy Games,Video Game Store,1.4294792215089076,103.83561669523105,Misc.
21,Lit Lit Xin Hot & Cold Deserts,Dessert Shop,1.4275897382084803,103.83749254114471,Quick Bite
22,NTUC Fairprice,Supermarket,1.428899951389723,103.83584614184515,Shop
23,Golden Village,Multiplex,1.4302178879970593,103.83657834320795,Entertainment
24,Watsons,Pharmacy,1.4293844446054256,103.83566661555602,Misc.
25,Seng Heng Niang Dou Fu (成兴酿豆腐),Chinese Restaurant,1.4274002589583357,103.83738861997486,Restaurant
26,Northpoint City,Shopping Mall,1.428847007500876,103.83619666099548,Shop
27,Yishun N7 Neighbourhood Park,Park,1.4277140398246289,103.8319710187289,Misc.
28,Cold Storage,Supermarket,1.4294338767538468,103.83563388430542,Shop
29,Long John Silver's,Seafood Restaurant,1.4301986831632254,103.8355775718601,Restaurant
30,Timezone,Arcade,1.429807639785474,103.83568093429207,Misc.
31,KFC,Fried Chicken Joint,1.4298388,103.83548,Misc.
32,Collin’s,Italian Restaurant,1.4290211548541116,103.83612393280119,Restaurant
33,PastaMania,Italian Restaurant,1.429340666520736,103.8355963847292,Restaurant
34,Yishun 761 U来 Coffee Shop,Food Court,1.425812296404206,103.83309859419786,Restaurant
35,Char Grill Western,Restaurant,1.429139,103.836638,Restaurant
36,Subway,Sandwich Place,1.4294378129888698,103.83558317672522,Misc.
37,Umi Sushi,Japanese Restaurant,1.4283959,103.836174,Restaurant
38,Toast Box,Coffee Shop,1.4291738380769872,103.83599126952484,Quick Bite
39,Ju Hao Xiao Long Bao 聚豪拉面小笼包 (Ju Hao Xiao Long Bao),Dim Sum Restaurant,1.4299748073305822,103.83565387570054,Restaurant
40,Gelàre,Café,1.4301233416530241,103.83656144142151,Misc.
41,Yishun 81 Food Court,Food Court,1.4280808263904579,103.83757979240737,Restaurant
42,Pontian Wanton Noodles,Noodle House,1.4282239298598458,103.8375128671371,Restaurant
43,Sheng Siong Supermarket,Grocery Store,1.4268782124118031,103.83705052465609,Misc.
44,6th Element Nail Salon,Cosmetics Shop,1.43168,103.833404,Shop
45,156 Eating House,Coffee Shop,1.4320447922634543,103.83327695974485,Quick Bite
46,LV'S Mart,Grocery Store,1.425932,103.833202,Misc.
47,Nee Soon Central Park,Park,1.4286881959785287,103.83939833898546,Misc.
